Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,1.0,248.0,1.0,248.0,248.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.8700310430476327,0.7405333778534565,2.2328769490220686,0.0,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,123.0,1.0,123.0,371.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.3899670547558481,0.3819119128698883,1.0,0.0,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,88.0,1.0,88.0,459.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,187.0,1.0,187.0,646.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.7890979761079344,0.4557561638352592,1.6825545950103868,0.0,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,86.0,1.0,86.0,732.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.6919135855443926,0.7222189379050715,1.8429431933839264,0.0,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,331.0,1.0,331.0,1063.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.274934530443537,0.6459615236299282,2.6500575414623486,0.0,,,,,,,,,,,,,,,,,,,,
7,19.0,0.0,397.0,1.0,397.0,1460.0,0.0,7.0,95.0,0.0,,,,,,,,,,,,0.13294017,0.26560363,0.95947796,0.00017420061,1.5215566513574144,0.8818366235165885,3.39289946333453,0.0,1.7916964,2.4401676e-05,1.7917565,1.7916276000000002,0.16945798030696765,0.4201839883771904,1.9003207683563232,-0.00874817930161953,0.009627631999999999,0.01605518,0.04531254,-0.012639573999999999,0.103175715,0.22770043,0.90946233,2.5499614e-07,0.30363909999999994,0.61167854,2.167231,-0.011617951000000001
8,25.0,0.0,117.0,1.0,117.0,1577.0,0.0,1.0,15.0,0.0,,,,,,,,,,,,0.03459847,0.06251849,0.15962720000000002,0.0020247747,0.4872743474154752,0.33569100677546404,1.0,0.0,1.7916566000000003,4.586844e-05,1.7917542000000002,1.7916076,0.03243804715573788,0.19179319731839725,0.9877235293388368,-0.013366710394620895,0.06888939,0.0082683535,0.079700746,0.055720896,0.020763937,0.04136547,0.103494875,5.142918e-05,0.058279514000000004,0.14101307,0.34029025,-0.014587425
9,40.0,0.0,290.0,1.0,290.0,1867.0,0.0,6.0,125.0,0.0,,,,,,,,,,,,0.197952,0.29690674,0.8451991,0.0032722908,1.5347843551661826,0.9835813996683812,3.292459852881254,0.0,1.7915696,8.654648000000001e-05,1.7917546999999998,1.7914047,0.20967606950019088,0.4340480766901692,1.8721247911453247,-0.03139287233352661,0.118590616,0.025857812,0.17259428,0.07850897,0.12374656,0.20499732,0.699171,0.000139082,0.37619528,0.61407316,1.7494822,-0.030527878999999997
10,67.0,0.0,541.0,1.0,541.0,2408.0,0.0,10.0,150.0,0.0,,,,,,,,,,,,0.43392780000000003,0.69018596,2.5103388,0.012690847,1.5407734345932274,0.7374308486007165,3.1913177307618468,0.0,1.7898676,0.0019313908,1.7917521,1.7838042,0.1368366575584962,0.3821866825735704,1.6833410263061523,-0.2266237735748291,0.5796574999999999,0.29847825,1.2420191999999999,0.20709811,0.12345965,0.19106293,0.7305510000000001,0.00086669484,0.24575645,0.55341536,1.5624216,-0.22025344
11,103.0,0.0,719.0,1.0,719.0,3127.0,0.0,4.0,265.0,0.0,,,,,,,,,,,,0.7696304,1.0534219999999999,4.5883107,0.20982262,0.5000529664376541,0.3155616701055577,1.2852839300228704,0.0,1.7330086999999998,0.032707155,1.7916646,1.6918119999999999,-0.1928262794017792,0.3110840395133576,0.9662883281707764,-0.7654213905334473,2.7413027000000003,0.87306994,4.0872965,1.4272719999999999,0.16251078,0.14811237,0.5942803000000001,0.04653442,-0.3311862,0.44391584,1.0693518999999998,-0.7295906999999999
12,110.0,0.0,125.0,1.0,125.0,3252.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.64830524,0.14570446,0.8713232,0.40967187,0.0,0.0,0.0,0.0,1.7322674999999998,0.008331079,1.7875514,1.7221475,-0.3390433748563131,0.1860952368689896,-0.02489876747131348,-0.7148473262786865,3.3779035000000004,0.29400957,3.915662,3.0040746,0.102555595,0.017722348,0.13601841,0.08232693,-0.580518,0.079269625,-0.49676362,-0.73393583
