Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,73.0,73.0,73.0,73.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,92.0,92.0,19.0,92.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,116.0,116.0,24.0,116.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,140.0,140.0,24.0,140.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,164.0,164.0,24.0,164.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,188.0,188.0,24.0,188.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,212.0,212.0,24.0,212.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,264.0,264.0,52.0,264.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,288.0,288.0,24.0,288.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,312.0,312.0,24.0,312.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,336.0,336.0,24.0,336.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,388.0,388.0,52.0,388.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,412.0,412.0,24.0,412.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,436.0,436.0,24.0,436.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,460.0,460.0,24.0,460.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,484.0,484.0,24.0,484.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,508.0,508.0,24.0,508.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,532.0,532.0,24.0,532.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,556.0,556.0,24.0,556.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,580.0,580.0,24.0,580.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,604.0,604.0,24.0,604.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,647.0,647.0,43.0,647.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,671.0,671.0,24.0,671.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,695.0,695.0,24.0,695.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,719.0,719.0,24.0,719.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,801.0,801.0,82.0,801.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,825.0,825.0,24.0,825.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,849.0,849.0,24.0,849.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,873.0,873.0,24.0,873.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,,
