Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
5,51.0,0.0,1260.0,1260.0,203.0,1260.0,0.9997990300000044,5.0,55.0,0.0,,,,3.931769674899531,1.6996817478819203e-05,3.9318511486053462,3.9317009449005127,0.00025,0.0,0.00025,0.00025,0.0015795095000000002,0.00228294,0.009886638,0.0007360797599999999,,,,
6,70.0,0.0,1335.0,1335.0,75.0,1335.0,0.999724780000006,2.0,15.0,0.0,,,,3.9317665852998434,1.974947859037115e-05,3.9317805767059326,3.931684732437134,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0016345107999999999,0.0023464938,0.008488849,0.0007069152000000001,,,,
7,91.0,0.0,1422.0,1422.0,87.0,1422.0,0.9996386500000078,1.0,15.0,0.0,,,,3.9317470391591387,3.6137849466963855e-05,3.931777000427246,3.9316577911376953,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0027746279,0.0035412990000000004,0.009371556,0.00066972565,,,,
8,159.0,0.0,1693.0,1693.0,271.0,1693.0,0.9993703600000136,5.0,55.0,0.0,,,,3.931717883295088,8.799251016023676e-05,3.9317665100097656,3.93121600151062,0.00025,0.0,0.00025,0.00025,0.0016281543,0.0026461745,0.01236859,0.0006132433,,,,
9,201.0,0.0,1861.0,1861.0,168.0,1861.0,0.9992040400000172,3.0,50.0,0.0,,,,3.9316739127749485,9.088216483318276e-05,3.931726455688477,3.9313144683837886,0.00025,0.0,0.00025,0.00025,0.0016708204,0.0026758997999999997,0.009373709000000001,0.00059945066,,,,
10,279.0,0.0,2172.0,2172.0,311.0,2172.0,0.998896150000024,4.0,65.0,0.0,,,,3.9315659480217175,0.00019048674140353892,3.9316813945770255,3.930373430252075,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.002430251,0.0037640546999999996,0.018441128,0.00059561344,,,,
11,407.0,0.0,2683.0,2683.0,511.0,2683.0,0.9983902600000351,9.0,320.0,0.0,,,,3.9314567111432552,0.00012620659051308701,3.9315607547760014,3.930864334106445,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.0015581120000000002,0.0025889715,0.010124559,0.0005148306,0.01568861566484029,0.010478759697899756,0.031155579537153814,0.0020613119006162306
12,424.0,0.0,2754.0,2754.0,71.0,2754.0,0.9983199700000364,1.0,15.0,0.0,,,,3.9312687340904686,0.0002896502544373972,3.931453704833984,3.930581331253052,0.00025,0.0,0.00025,0.00025,0.0028857088,0.0040625670000000004,0.010604077,0.0005455074,,,,
13,457.0,0.0,2886.0,2886.0,132.0,2886.0,0.9981892900000392,2.0,25.0,0.0,,,,3.9313098713755608,0.00014333991660236612,3.9314162731170654,3.930700063705444,0.00025,0.0,0.00025,0.00025,0.00138301,0.0022878973,0.01056651,0.00060361094,,,,
14,504.0,0.0,3074.0,3074.0,188.0,3074.0,0.9980031700000432,3.0,35.0,0.0,,,,3.9312819501628047,0.00013274100120851847,3.9313366413116455,3.930396318435669,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.00091095956,0.0014817762,0.01081786,0.0005164214499999999,0.02022565032045098,0.016795591050975178,0.04546782150864642,-0.004790010303258403
15,528.0,0.0,3167.0,3167.0,93.0,3167.0,0.9979111000000452,1.0,15.0,0.0,,,,3.9312709414440654,5.836503187279833e-05,3.931310653686523,3.9310729503631587,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0014560785000000001,0.0027232453999999997,0.010304639,0.0004923946,,,,
16,598.0,0.0,3449.0,3449.0,282.0,3449.0,0.9976319200000514,2.0,55.0,0.0,,,,3.9311427320752825,0.00023303090096470923,3.93130874633789,3.93014407157898,0.00025,0.0,0.00025,0.00025,0.0019358466,0.0033209578,0.011183595,0.0004569453599999999,0.02134936191141665,0.016361523818256587,0.04741336777806335,0.0007183343172079415
17,668.0,0.0,3729.0,3729.0,280.0,3729.0,0.9973547200000574,4.0,45.0,0.0,,,,3.930918036188398,0.00030856316736988513,3.931130170822144,3.929703950881958,0.00025,0.0,0.00025,0.00025,0.0023550470000000003,0.0037281518,0.012065628,0.00058377336,0.02788046859204824,0.0187949749716342,0.05711792111396849,-0.0032712385058396853
18,738.0,0.0,4008.0,4008.0,279.0,4008.0,0.9970785100000634,3.0,45.0,0.0,,,,3.9306381259645735,0.0004500320518754415,3.9309415817260738,3.928661346435547,0.00025,0.0,0.00025,0.00025,0.0032272153000000004,0.0045594224,0.018367898,0.0007496964,,,,
19,793.0,0.0,4227.0,4227.0,219.0,4227.0,0.996861700000068,2.0,45.0,0.0,,,,3.930483783375133,0.0004363073177909505,3.930794477462769,3.9289608001708975,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0034783709999999996,0.0045404145,0.0141164735,0.0008610610000000001,0.026020340062678424,0.014914275192702673,0.040645523369312785,0.003995457664132701
