Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,51.0,0.0,1260.0,1260.0,203.0,1260.0,0.9997990300000044,5.0,55.0,0.0,,,,0.011083870362627377,0.014686622348556997,0.054807450622320175,8.600389992352575e-05,0.00025,0.0,0.00025,0.00025,0.044719514,0.033888377000000004,0.15844104,0.006255531700000001,1.5742518458459676,1.1031375801910266,3.252515696371334,0.0,,,,
6,70.0,0.0,1335.0,1335.0,75.0,1335.0,0.999724780000006,2.0,15.0,0.0,,,,0.01160521360763692,0.011407942994633451,0.03328811377286911,0.0005630382802337407,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.051803865,0.029654076,0.12591287,0.018302478,0.630055465573955,0.7534012288320482,1.886384871716129,0.0,,,,
7,91.0,0.0,1422.0,1422.0,87.0,1422.0,0.9996386500000078,1.0,15.0,0.0,,,,0.011435289681512155,0.01356485692548739,0.04386129975318909,0.0003138938918709755,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.049575187,0.030825942999999998,0.12139501400000001,0.01762898,0.2731692938539037,0.40901966584690697,1.0,0.0,,,,
8,159.0,0.0,1693.0,1693.0,271.0,1693.0,0.9993703600000136,5.0,55.0,0.0,,,,0.008754079026402906,0.010493087956226587,0.04199719801545143,0.00022145826369524,0.00025,0.0,0.00025,0.00025,0.043745343,0.029057967,0.12578213,0.009329067,1.3777471984624352,0.8115021837176055,3.11412900057984,0.0,,,,
9,201.0,0.0,1861.0,1861.0,168.0,1861.0,0.9992040400000172,3.0,50.0,0.0,,,,0.005790353046211835,0.00924501194200579,0.04264310002326965,0.00015841521963011473,0.00025,0.0,0.00025,0.00025,0.029974802999999998,0.02480581,0.10272589,0.006583053,0.9971291228971556,0.7740837108535874,2.18976824447548,0.0,,,,
10,279.0,0.0,2172.0,2172.0,311.0,2172.0,0.998896150000024,4.0,65.0,0.0,,,,0.009652879799642295,0.012284496966573208,0.056258566677570336,8.341699867742136e-05,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.04328928,0.03246331,0.13359663,0.006534694000000001,1.0234306140936356,0.5002579938176909,2.1008995427938943,0.0,,,,
11,440.0,0.0,2815.0,2815.0,643.0,2815.0,0.9982595800000378,10.0,335.0,0.0,,,,0.008536474057301511,0.01028302387210362,0.045296579599380486,0.00012202279322082175,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.04192782,0.027328676,0.12006431,0.0078535825,1.3803392321717662,1.096111017851517,4.070269499186656,0.0,0.0023848657,0.025200281,0.042012468,-0.036088865
12,458.0,0.0,2888.0,2888.0,73.0,2888.0,0.9981873100000394,2.0,45.0,0.0,,,,0.009459823424953759,0.010695092095359921,0.0402686782181263,0.0004647395689971745,0.00025,0.0,0.00025,0.00025,0.046102643,0.024324505,0.107099675,0.018588312,0.6193548093911652,0.6855072221487064,1.8179069375972308,0.0,,,,
