Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,63.0,0.0,1310.0,1310.0,253.0,1310.0,0.9997495300000054,4.0,50.0,0.0,,,,0.004012163915961407,0.006262272993724664,0.04764580726623535,8.1564921856625e-06,6.25e-05,0.0,6.25e-05,6.25e-05,0.010623638999999999,0.014628718999999998,0.11750877,0.0006018049299999999,1.222244018436626,0.936837542398956,3.1882608013105234,0.0,,,,
6,191.0,0.0,1821.0,1821.0,511.0,1821.0,0.9992436400000164,12.0,185.0,0.0,,,,0.004986882026675779,0.0024525258547375595,0.01212594285607338,0.00019069857080467043,6.250000000000003e-05,2.7105054312137605e-20,6.25e-05,6.25e-05,0.012066028999999999,0.004054811,0.023936076,0.0052656345,2.2788441379494553,1.4480347036158143,5.334774783194502,0.0,,,,
7,296.0,0.0,2240.0,2240.0,419.0,2240.0,0.9988288300000254,5.0,100.0,0.0,,,,0.002852302261384293,0.001423902026771749,0.006419077049940825,0.00032718142028898,6.250000000000003e-05,2.7105054312137605e-20,6.25e-05,6.25e-05,0.008651931,0.0021564893,0.015036376,0.005514461,0.8555964976400694,1.0053707470132562,3.3749244373511424,0.0,0.045712102000000004,0.0046962714,0.051285498,0.037267745
8,339.0,0.0,2414.0,2414.0,174.0,2414.0,0.9986565700000292,1.0,5.0,0.0,,,,0.0022072479261496906,0.0011851067892783525,0.005776813253760339,0.0002716210437938571,6.25e-05,0.0,6.25e-05,6.25e-05,0.007669631999999999,0.0017825919000000001,0.013650602,0.004986409,0.3973882352674416,0.32154192970544776,1.0,0.0,0.10220742,0.033463497,0.153544,0.06425184
9,368.0,0.0,2529.0,2529.0,115.0,2529.0,0.9985427200000316,3.0,30.0,0.0,,,,0.0022113858742938775,0.0011680986343581435,0.004550112411379814,0.00028897859738208354,6.250000000000001e-05,1.3552527156068802e-20,6.25e-05,6.25e-05,0.0072303605000000005,0.0016598894,0.010692931999999999,0.0048725903,0.6324934579648669,0.8584618010459154,2.5898325667156983,0.0,,,,
10,411.0,0.0,2702.0,2702.0,173.0,2702.0,0.9983714500000354,3.0,75.0,0.0,,,,0.002077218892694408,0.0010814756493981728,0.004706204403191805,0.0002305081870872528,6.25e-05,0.0,6.25e-05,6.25e-05,0.007076809599999999,0.001648983,0.013651845,0.0049567529999999995,1.0608731055181009,0.7741962088105712,2.3536752936697938,0.0,,,,
11,465.0,0.0,2915.0,2915.0,213.0,2915.0,0.99816058000004,3.0,20.0,0.0,,,,0.002422780042320912,0.0012927514366501244,0.005057375878095628,0.0002319362247362733,6.25e-05,0.0,6.25e-05,6.25e-05,0.007722950500000001,0.0019650976,0.013632878000000001,0.004534565999999999,0.9256049353481748,0.5663397851070973,1.7696505901309243,0.0,,,,
