Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,51.0,0.0,1260.0,1260.0,203.0,1260.0,0.999817300000006,5.0,55.0,0.0,,,,0.011210492118170448,0.014767014885939737,0.05533798784017563,0.0001473492011427879,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.05707659599999999,0.04158878,0.21503627,0.013312756,1.5742518458459676,1.1031375801910266,3.252515696371334,0.0,,,,
6,70.0,0.0,1335.0,1335.0,75.0,1335.0,0.9997498000000082,2.0,15.0,0.0,,,,0.011414097540852564,0.01121910665123708,0.029740048572421074,0.0004330868541728705,0.0001,0.0,0.0001,0.0001,0.058900263,0.027915347000000004,0.11027232599999999,0.02339791,0.630055465573955,0.7534012288320482,1.886384871716129,0.0,,,,
7,91.0,0.0,1422.0,1422.0,87.0,1422.0,0.9996715000000108,1.0,15.0,0.0,,,,0.01167219927412502,0.013875076164169707,0.043948281556367874,0.00028215046040713787,0.0001,1.3552527156068802e-20,0.0001,0.0001,0.06262833,0.037401546,0.14943606,0.020271355,0.2731692938539037,0.40901966584690697,1.0,0.0,,,,
8,159.0,0.0,1693.0,1693.0,271.0,1693.0,0.9994276000000188,5.0,55.0,0.0,,,,0.008753844233422623,0.010620677350002777,0.04268157482147217,0.00019746257748920468,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,0.050806154000000006,0.03303038,0.14730394,0.013462662,1.3777471984624352,0.8115021837176055,3.11412900057984,0.0,,,,
9,201.0,0.0,1861.0,1861.0,168.0,1861.0,0.9992764000000238,3.0,50.0,0.0,,,,0.005769514246605381,0.009300229770420849,0.04301084950566292,0.00012095135753042996,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.03691972,0.028310942000000002,0.12708472,0.010599906000000001,0.9971291228971556,0.7740837108535874,2.18976824447548,0.0,,,,
10,279.0,0.0,2172.0,2172.0,311.0,2172.0,0.9989965000000329,4.0,65.0,0.0,,,,0.009682108745040843,0.012429802966425272,0.05656500905752183,8.809752034721896e-05,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,0.051116365999999996,0.037895918,0.16268665,0.0067432327,1.0234306140936356,0.5002579938176909,2.1008995427938943,0.0,,,,
11,406.0,0.0,2681.0,2681.0,509.0,2681.0,0.998538400000048,9.0,320.0,0.0,,,,0.008329823643989369,0.010283429206659646,0.0445377342402935,0.00011704764619935305,0.0001,1.3552527156068802e-20,0.0001,0.0001,0.04747526,0.030370482999999997,0.15215631,0.009974633,1.5487425802799972,0.9434112651663112,4.0430534797383535,0.0,0.053110827,0.010893389,0.063433684,0.036038034
