Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,63.0,0.0,1310.0,1310.0,253.0,1310.0,0.9997723000000076,4.0,50.0,0.0,,,,0.005109202163559588,0.006644729727199222,0.04764580726623535,1.3183480405132285e-05,0.00025,0.0,0.00025,0.00025,0.013519267,0.015397271,0.11750877,0.0010043144,1.222244018436626,0.936837542398956,3.1882608013105234,0.0,,,,
6,191.0,0.0,1821.0,1821.0,511.0,1821.0,0.9993124000000226,12.0,185.0,0.0,,,,0.00485087334413052,0.002713731984112081,0.011721758171916008,0.00026730389799922705,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.017303153999999998,0.0053161266,0.033556815,0.007327091,2.2788441379494553,1.4480347036158143,5.334774783194502,0.0,,,,
7,296.0,0.0,2240.0,2240.0,419.0,2240.0,0.998935300000035,5.0,100.0,0.0,,,,0.0046935698821298074,0.002123739322185295,0.01283388864248991,0.00030128471553325653,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,0.019991936000000002,0.0050188279999999995,0.037825644,0.0079848645,0.8555964976400694,1.0053707470132562,3.3749244373511424,0.0,0.022227847999999998,0.019901505,0.043740325,-0.013208518
8,339.0,0.0,2414.0,2414.0,174.0,2414.0,0.9987787000000402,1.0,5.0,0.0,,,,0.004928239204292728,0.0020712643406458143,0.00949070695787668,0.0005535380914807321,0.00025,0.0,0.00025,0.00025,0.022211848,0.005014984,0.03487437,0.012367811000000001,0.3973882352674416,0.32154192970544776,1.0,0.0,0.12187975,0.09768122,0.26016974,-0.018181328
9,368.0,0.0,2529.0,2529.0,115.0,2529.0,0.9986752000000436,3.0,30.0,0.0,,,,0.004931809064666075,0.0021389635478543815,0.012947684153914452,0.0019566710107028484,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.023665477999999997,0.007522414399999999,0.052453473,0.013190613,0.6324934579648669,0.8584618010459154,2.5898325667156983,0.0,,,,
10,411.0,0.0,2702.0,2702.0,173.0,2702.0,0.9985195000000489,3.0,75.0,0.0,,,,0.004735770288768203,0.002382846652794767,0.009951505810022354,0.0008040203247219324,0.00025,0.0,0.00025,0.00025,0.024901329,0.0063486459999999995,0.04445335,0.015387693999999999,1.0608731055181009,0.7741962088105712,2.3536752936697938,0.0,,,,
11,465.0,0.0,2915.0,2915.0,213.0,2915.0,0.9983278000000549,3.0,20.0,0.0,,,,0.004829961579196366,0.0020574665947583615,0.010273397900164127,0.0007140584057196975,0.00025,0.0,0.00025,0.00025,0.025302371,0.006292670500000001,0.04320265400000001,0.0144736,0.9256049353481748,0.5663397851070973,1.7696505901309243,0.0,,,,
