Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,63.0,0.0,1310.0,1310.0,253.0,1310.0,0.9997723000000076,4.0,50.0,0.0,,,,0.004491694926812107,0.006766281289137678,0.04882138594985008,6.719346401951042e-06,0.00010000000000000003,4.0657581468206416e-20,0.0001,0.0001,0.017803542,0.027135616,0.20955105,0.0008095327000000001,1.222244018436626,0.936837542398956,3.1882608013105234,0.0,,,,
6,191.0,0.0,1821.0,1821.0,511.0,1821.0,0.9993124000000226,12.0,185.0,0.0,,,,0.0047714674900795565,0.0024146913664049147,0.010317616164684296,0.00031104608206078416,0.0001,1.3552527156068802e-20,0.0001,0.0001,0.019269539,0.0060739340000000005,0.03975275,0.010625138999999999,2.2788441379494553,1.4480347036158143,5.334774783194502,0.0,,,,
7,296.0,0.0,2240.0,2240.0,419.0,2240.0,0.998935300000035,5.0,100.0,0.0,,,,0.004713273658749781,0.002172792571173645,0.011134801432490349,0.0005795764154754579,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.020182358,0.005298419,0.03915748,0.011748616000000002,0.8555964976400694,1.0053707470132562,3.3749244373511424,0.0,0.014056116,0.009650946,0.027787264,-0.00060711335
8,339.0,0.0,2414.0,2414.0,174.0,2414.0,0.9987787000000402,1.0,5.0,0.0,,,,0.003793796073634524,0.0021380887866130605,0.009300528094172478,0.00029195763636380434,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.020705786,0.0066502006,0.0460788,0.013250275,0.3973882352674416,0.32154192970544776,1.0,0.0,0.13003744,0.055773735,0.22091854,0.060123592999999996
9,368.0,0.0,2529.0,2529.0,115.0,2529.0,0.9986752000000436,3.0,30.0,0.0,,,,0.004141180351975241,0.0017784493640152872,0.00747263804078102,0.0005464060232043266,9.999999999999998e-05,2.7105054312137605e-20,0.0001,0.0001,0.019715613,0.004440255,0.02992878,0.011385176,0.6324934579648669,0.8584618010459154,2.5898325667156983,0.0,,,,
10,411.0,0.0,2702.0,2702.0,173.0,2702.0,0.9985195000000489,3.0,75.0,0.0,,,,0.004819720255232654,0.0021076089721098266,0.011331861838698387,0.0006479237927123903,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.024323987000000002,0.0065417895,0.049432315,0.015625566,1.0608731055181009,0.7741962088105712,2.3536752936697938,0.0,,,,
11,465.0,0.0,2915.0,2915.0,213.0,2915.0,0.9983278000000549,3.0,20.0,0.0,,,,0.0031677190750345305,0.0013164661577604493,0.005415318999439478,0.0004225847660563886,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,0.015876561,0.004163261,0.027698577999999998,0.010038991,0.9256049353481748,0.5663397851070973,1.7696505901309243,0.0,,,,
