Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
1,0.0,1.0,486.0,1.0,486.0,486.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,87.0,1.0,87.0,573.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,149.0,1.0,149.0,722.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,335.0,1.0,335.0,1057.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34.0,0.0,172.0,1.0,172.0,1229.0,0.4983143999999993,2.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.040353496,0.02609273,0.0999966,-0.043471947000000004,0.03477523,0.164051,0.9581233,5.6022714e-07
6,52.0,0.0,87.0,1.0,87.0,1316.0,0.4974617999999989,3.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.082588196,0.026114931,0.13465439999999998,0.027669976000000002,0.06951503,0.14355561,0.39885667,0.0009322624
7,84.0,0.0,158.0,1.0,158.0,1474.0,0.4959133999999982,2.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08363472,0.03359451,0.16955106,0.028528148,0.043941575999999996,0.15683082,0.7271184,0.00037936724000000005
8,285.0,0.0,1002.0,1.0,1002.0,2476.0,0.486093799999994,15.0,225.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.063296475,0.031234412000000003,0.16700707,-0.013381243999999999,0.041547336000000004,0.15288703,0.92434084,5.760616999999999e-06
9,306.0,0.0,103.0,1.0,103.0,2579.0,0.4850843999999935,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07671804,0.017547242,0.13709085,0.045635507,0.0024386249,0.0018733564000000002,0.0069526015,0.00024516284
10,341.0,0.0,175.0,1.0,175.0,2754.0,0.4833693999999928,5.0,90.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06379729,0.021876696,0.13332556,0.021285325,0.07038801,0.19229029999999997,0.9051561,2.6189251e-05
11,391.0,0.0,251.0,1.0,251.0,3005.0,0.4809095999999917,4.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08031111,0.039754827,0.22916844,-0.020700654,0.051491648,0.17458324,0.8763211999999999,0.0007330777000000001
12,453.0,0.0,311.0,1.0,311.0,3316.0,0.4778617999999904,6.0,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07450908,0.03336375,0.16880488,-0.0020245297,0.057231616,0.18666263,0.97951937,1.6761065000000002e-05
13,485.0,0.0,159.0,1.0,159.0,3475.0,0.4763035999999897,2.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07817560000000001,0.02362335,0.14256908,0.032745935,0.033312485,0.14050189,0.77938634,5.5000153e-05
14,513.0,0.0,141.0,1.0,141.0,3616.0,0.4749217999999891,2.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06474919,0.028942423,0.13381222,-0.0076943533,0.04889682,0.1797388,0.89009017,0.00018880802
15,542.0,0.0,143.0,1.0,143.0,3759.0,0.4735203999999885,5.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.11714349,0.039398372,0.22849412,0.030883132,0.11228325,0.245131,0.7937969,0.0024761305999999998
16,561.0,0.0,95.0,1.0,95.0,3854.0,0.4725893999999881,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0763666,0.030481587999999997,0.18241903,0.010678316,0.0019766889,0.0016421642,0.006302958399999999,0.00027906284
17,606.0,0.0,223.0,1.0,223.0,4077.0,0.4704039999999872,5.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.08190078,0.039242867,0.21449466,0.0028751902,0.04096472,0.12885719999999998,0.77387285,0.00010252611
18,734.0,0.0,639.0,1.0,639.0,4716.0,0.4641417999999845,15.0,195.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.078299165,0.027089962999999998,0.17287247,-0.010792755,0.050638538,0.1584898,0.95857733,1.1128574000000001e-05
19,761.0,0.0,133.0,1.0,133.0,4849.0,0.4628383999999839,1.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.066013165,0.015585752,0.104455546,0.026182266000000003,0.007997576,0.033478997999999996,0.17530239,2.9143303999999997e-05
20,803.0,0.0,208.0,1.0,208.0,5057.0,0.46079999999998295,2.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0989598,0.03867809,0.24202614,0.026770176,0.028856862,0.103850335,0.6208693000000001,0.00020644738
21,827.0,0.0,121.0,1.0,121.0,5178.0,0.4596141999999825,3.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.05163788,0.03266735,0.13035591,-0.010496179,0.060705274000000004,0.19991046,0.96018296,1.15718585e-05
22,886.0,0.0,296.0,1.0,296.0,5474.0,0.4567133999999812,3.0,75.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.055200633,0.02043721,0.12403753,-0.009131704000000001,0.025785541000000002,0.118830964,0.7164206,9.30509e-06
23,924.0,0.0,190.0,1.0,190.0,5664.0,0.4548513999999804,2.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07989022,0.033207532000000005,0.1517886,0.014624057,0.021038478,0.08635008,0.5132317,0.0001304632
24,943.0,0.0,95.0,1.0,95.0,5759.0,0.45392039999997996,2.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07639871,0.027210535,0.13840047,0.015878707,0.08302483,0.23990528,0.9242176,0.00040095887
25,986.0,0.0,216.0,1.0,216.0,5975.0,0.4518035999999791,5.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.079740964,0.036320925,0.21939331,0.006712038,0.07065328,0.2003697,0.87975955,1.5883732e-05
