Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,24.0,24.0,24.0,24.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,43.0,43.0,19.0,43.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,67.0,67.0,24.0,67.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,119.0,119.0,52.0,119.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,143.0,143.0,24.0,143.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,167.0,167.0,24.0,167.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,191.0,191.0,24.0,191.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,215.0,215.0,24.0,215.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,239.0,239.0,24.0,239.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,258.0,258.0,19.0,258.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,282.0,282.0,24.0,282.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,306.0,306.0,24.0,306.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,330.0,330.0,24.0,330.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,354.0,354.0,24.0,354.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,378.0,378.0,24.0,378.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,402.0,402.0,24.0,402.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,454.0,454.0,52.0,454.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,478.0,478.0,24.0,478.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,532.0,532.0,54.0,532.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,556.0,556.0,24.0,556.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,572.0,572.0,16.0,572.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,587.0,587.0,15.0,587.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,639.0,639.0,52.0,639.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,720.0,720.0,81.0,720.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,744.0,744.0,24.0,744.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,749.0,749.0,5.0,749.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,773.0,773.0,24.0,773.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,775.0,775.0,2.0,775.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,799.0,799.0,24.0,799.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,823.0,823.0,24.0,823.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,875.0,875.0,52.0,875.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,890.0,890.0,15.0,890.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,914.0,914.0,24.0,914.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,938.0,938.0,24.0,938.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,952.0,952.0,14.0,952.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,976.0,976.0,24.0,976.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,1028.0,1028.0,52.0,1028.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
38,6.0,0.0,1052.0,1052.0,24.0,1052.0,0.9999762400000004,0.0,0.0,0.0,,,,18.63281780481339,23.881712302004622,52.63653182983398,1.6027613878250122,5e-05,0.0,5e-05,5e-05,22.829179999999997,7.4411545,36.021366,14.083875,,,,
39,19.0,0.0,1104.0,1104.0,52.0,1104.0,0.9999247600000016,1.0,1.0,0.0,,,,24.360831242341266,24.931778158061146,51.54410934448242,1.1409549713134766,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,10.516404,5.7182355000000005,20.274113,3.4943342000000004,,,,
40,32.0,0.0,1157.0,1157.0,53.0,1157.0,0.9998722900000028,1.0,1.0,0.0,,,,12.714892689998331,21.096399119770012,51.29087829589844,1.1014199256896973,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,4.969805,4.582717400000001,13.981420000000002,1.7228988,,,,
41,38.0,0.0,1181.0,1181.0,24.0,1181.0,0.9998485300000032,0.0,0.0,0.0,,,,31.087906742095946,39.97610891473879,101.0667724609375,1.0974485874176023,5e-05,0.0,5e-05,5e-05,7.4513115999999995,7.169670599999999,18.334951,1.6571833999999999,,,,
