Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,486.0,486.0,486.0,486.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.027285241237078,0.8961037725396955,3.502959469093688,0.0,,,,
2,0.0,1.0,573.0,573.0,87.0,573.0,1.0,,,0.0,,,,,,,,,,,,,,,,0.2991949731169189,0.4147830569909918,1.0,0.0,,,,
3,0.0,1.0,722.0,722.0,149.0,722.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.089942054123867,0.6773639260883686,1.9560606270183023,0.0,,,,
4,0.0,1.0,1057.0,1057.0,335.0,1057.0,1.0,,,0.0,,,,,,,,,,,,,,,,1.6150170189100268,1.2171006279541683,4.3034191502088746,0.0,,,,
5,51.0,0.0,1260.0,1260.0,203.0,1260.0,0.9997990300000044,5.0,55.0,0.0,,,,36.39371548271647,49.45138568291551,199.1195526123047,0.19053678214550016,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,7.532597999999999,7.1016245,33.78272,1.4505563999999997,1.5742518458459676,1.1031375801910266,3.252515696371334,0.0,,,,
6,70.0,0.0,1335.0,1335.0,75.0,1335.0,0.999724780000006,2.0,15.0,0.0,,,,39.265952220872826,41.12147905803706,99.56693267822266,0.20913273096084595,5e-05,0.0,5e-05,5e-05,9.42191,7.0360494000000005,23.090874,2.064445,0.630055465573955,0.7534012288320482,1.886384871716129,0.0,,,,
7,91.0,0.0,1422.0,1422.0,87.0,1422.0,0.9996386500000078,1.0,15.0,0.0,,,,37.98109634149642,47.905636816865616,148.4886474609375,0.2750575840473175,5e-05,6.776263578034403e-21,5e-05,5e-05,10.243463499999999,7.6128125,32.07251,3.250062,0.2731692938539037,0.40901966584690697,1.0,0.0,,,,
8,159.0,0.0,1693.0,1693.0,271.0,1693.0,0.9993703600000136,5.0,55.0,0.0,,,,28.930436090746927,36.11691394038722,147.92953491210938,0.3181586265563965,5.0000000000000016e-05,1.3552527156068802e-20,5e-05,5e-05,10.44046,6.4473057,32.9211,4.3905983,1.3777471984624352,0.8115021837176055,3.11412900057984,0.0,,,,
9,201.0,0.0,1861.0,1861.0,168.0,1861.0,0.9992040400000172,3.0,50.0,0.0,,,,18.96833928142275,31.799296642491196,146.1549530029297,0.3456725478172302,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,8.966327,7.091922,41.89229,4.5536304,0.9971291228971556,0.7740837108535874,2.18976824447548,0.0,,,,
10,279.0,0.0,2172.0,2172.0,311.0,2172.0,0.998896150000024,4.0,65.0,0.0,,,,32.09392697803485,42.13298296371022,195.0815734863281,0.2923644483089447,5.0000000000000016e-05,2.0328790734103208e-20,5e-05,5e-05,15.759795,11.353839,70.18659,3.342692,1.0234306140936356,0.5002579938176909,2.1008995427938943,0.0,,,,
11,440.0,0.0,2815.0,2815.0,643.0,2815.0,0.9982595800000378,10.0,335.0,0.0,,,,28.14659144123149,34.815239080658415,144.4326171875,0.4303665161132813,5.000000000000001e-05,6.776263578034403e-21,5e-05,5e-05,18.55,12.039677000000001,87.61861,5.962619999999999,1.3803392321717662,1.096111017851517,4.070269499186656,0.0,0.017199665581962714,0.0031208499377391747,0.021268549477972555,0.013525613469537349
12,458.0,0.0,2888.0,2888.0,73.0,2888.0,0.9981873100000394,2.0,45.0,0.0,,,,31.14651732312309,36.85799012635688,138.88088989257812,1.0084846019744873,5e-05,0.0,5e-05,5e-05,29.951015,16.332592,75.88148000000001,14.728288000000001,0.6193548093911652,0.6855072221487064,1.8179069375972308,0.0,,,,
