Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,189.0,189.0,189.0,189.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.7189537460138713,0.8342030732920309,3.1720754725366263,0.0,,,,
2,0.0,1.0,313.0,313.0,124.0,313.0,0.0,,,0.0,,,,,,,,,,,,,,,,1.1556144727827258,1.1977142536264709,3.3002925706905377,0.0,,,,
3,0.0,1.0,497.0,497.0,184.0,497.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
4,0.0,1.0,674.0,674.0,177.0,674.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.5359539803178398,0.4538549619887234,1.4213342221547682,0.0,,,,
5,0.0,1.0,810.0,810.0,136.0,810.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.970683111504367,1.1361797438721173,3.2764986395967366,0.0,,,,
6,0.0,1.0,1160.0,1160.0,350.0,1160.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.23938003142542644,0.2872217411534225,1.0,0.0,,,,
7,48.0,0.0,1351.0,1351.0,191.0,1351.0,0.0,1.0,5.0,0.0,,,,0.0071747025507041436,0.010843389890597209,0.048822488635778434,0.00023081972904037684,0.00025,0.0,0.00025,0.00025,0.0071943086,0.0048590684,0.021529107999999998,0.0025160864,0.4144018524948891,0.28271921998122285,1.0,0.0,,,,
8,142.0,0.0,1727.0,1727.0,376.0,1727.0,0.0,6.0,105.0,0.0,,,,0.008251638804838566,0.012494747731932477,0.06285940855741501,0.0001332568790530786,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.005984557,0.0053747944,0.02581037,0.0014829225,0.9196876664079658,0.8007057106829509,3.3344246970118685,0.0,,,,
9,168.0,0.0,1832.0,1832.0,105.0,1832.0,0.0,0.0,0.0,0.0,,,,0.006050311557863518,0.009402620855146884,0.03078143112361431,0.0002137971605407074,0.00025,0.0,0.00025,0.00025,0.0051729013,0.004781535,0.01944438,0.0018139638,0.0,0.0,0.0,0.0,,,,
10,243.0,0.0,2131.0,2131.0,299.0,2131.0,0.009518321603536606,6.0,105.0,0.0,,,,0.005814603337591204,0.009651515481786258,0.04531267285346985,0.00021036081307101997,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0049809855,0.0041849012,0.022441711,0.0017560014000000002,1.6893790436577891,1.1269477344711665,4.115441437184096,0.0,0.027517555,0.0069358223,0.03894811,0.018978702
11,345.0,0.0,2540.0,2540.0,409.0,2540.0,0.009518321603536606,5.0,75.0,0.0,,,,0.007141073717445811,0.0109827631520581,0.0454474501311779,0.0002208197547588497,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0057337735999999995,0.0050942274,0.021717656000000002,0.001939443,1.173079356275766,0.9172313248965374,3.4463855035537945,0.0,,,,
12,367.0,0.0,2628.0,2628.0,88.0,2628.0,0.009518321603536606,1.0,30.0,0.0,,,,0.0043377957838608636,0.008061180014264386,0.0307176411151886,0.00021039629064034668,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0044096704,0.00318014,0.013666302,0.0021333578,0.2162183315667516,0.3871446239541863,1.0,0.0,,,,
13,411.0,0.0,2802.0,2802.0,174.0,2802.0,0.009518321603536606,3.0,20.0,0.0,,,,0.00705425927001422,0.008739788106087276,0.030834842473268512,0.00021983029728289694,0.00025,0.0,0.00025,0.00025,0.005540494,0.0037661070000000003,0.013410206000000001,0.0019349876999999998,0.946505205649664,0.6497375213035785,1.886384871716129,0.0,,,,
14,441.0,0.0,2923.0,2923.0,121.0,2923.0,0.009518321603536606,2.0,45.0,0.0,,,,0.007255124329822137,0.009256402987133169,0.030532980337738987,0.00022788955538999292,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.005839782,0.0040449365000000004,0.0144644845,0.002218738,0.4564210175202781,0.6256516729034688,1.770043145805155,0.0,,,,
15,466.0,0.0,3022.0,3022.0,99.0,3022.0,0.009518321603536606,0.0,0.0,0.0,,,,0.008051124435733073,0.009675955615800456,0.030860383063554764,0.00018955451378133148,0.00025,0.0,0.00025,0.00025,0.0056997025,0.0043654046,0.014423813,0.0016829654000000002,0.0,0.0,0.0,0.0,,,,
16,513.0,0.0,3211.0,3211.0,189.0,3211.0,0.009518321603536606,5.0,45.0,0.0,,,,0.009117493764162956,0.010893143316947029,0.03036818467080593,0.00022499072656501085,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.0064943684,0.0049465364,0.02070373,0.0018465617,1.6193182148007264,1.112634156613855,3.616638993066037,0.0,,,,
17,530.0,0.0,3280.0,3280.0,69.0,3280.0,0.009518321603536606,2.0,15.0,0.0,,,,0.003833223584532628,0.006297102329382553,0.015666766092181206,0.0002959037374239415,0.00025,0.0,0.00025,0.00025,0.004599129,0.002959015,0.0103033595,0.002529183,0.5940358149050387,0.7438557483078049,1.886384871716129,0.0,,,,
18,553.0,0.0,3372.0,3372.0,92.0,3372.0,0.009518321603536606,2.0,35.0,0.0,,,,0.0054375620814465465,0.010279252971285369,0.0443522185087204,0.0002471102052368224,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.00475697,0.0038687717,0.016571251999999998,0.0022763964,0.7761869812508466,0.6865309074930234,1.8097278682212583,0.0,,,,
19,602.0,0.0,3568.0,3568.0,196.0,3568.0,0.010264413431286812,2.0,35.0,0.0,,,,0.008224973072563964,0.01003888337704746,0.030375344678759575,0.00025256708613596857,0.00025,0.0,0.00025,0.00025,0.0060515264,0.004162104,0.013942484,0.0021261235,0.7653365603684403,0.5273989483576815,1.8097278682212583,0.0,0.028285785,0.006893333000000001,0.043422956,0.017495247
20,674.0,0.0,3857.0,3857.0,289.0,3857.0,0.014383464120328425,6.0,85.0,0.0,,,,0.006078846501420938,0.009119025210815871,0.04457943141460419,0.00020863463578280061,0.00025,0.0,0.00025,0.00025,0.0054908822999999995,0.0042742137,0.01988155,0.0019297907,1.198377059303437,0.8641760546588652,3.2942183985816884,0.0,0.022381967000000003,0.0078595355,0.035988122000000004,0.014476663999999998
21,740.0,0.0,4120.0,4120.0,263.0,4120.0,0.014501231722533703,2.0,35.0,0.0,,,,0.006229811864725959,0.00973286783300311,0.04529552534222603,0.0002042617852566764,0.00025,0.0,0.00025,0.00025,0.005193605,0.0043025026,0.020198591000000002,0.0015835994000000001,0.519314485441014,0.5795159688017624,1.7856781408072189,0.0,0.024588212,0.0063653346,0.035432056,0.015702168
22,802.0,0.0,4367.0,4367.0,247.0,4367.0,0.014501231722533703,5.0,80.0,0.0,,,,0.008036041556249162,0.011039455064788824,0.030972197651863095,0.00019846491341013459,0.00025,0.0,0.00025,0.00025,0.0062624104000000005,0.004960018,0.019741405,0.0018148815,1.5686550713304752,0.9017506556097664,3.2657637431199347,0.0,,,,
23,957.0,0.0,4987.0,4987.0,620.0,4987.0,0.013668711297214031,13.0,410.0,0.0,,,,0.007874839354190043,0.00912627292427783,0.044316228479146964,0.00022194607299752533,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,0.006213119699999999,0.004178938,0.022133566,0.001986457,1.8879749378170183,1.1087368749058115,3.9055786177888914,0.0,0.02505421,0.0060998234,0.03934883,0.011889763999999999
24,1000.0,0.0,5160.0,5160.0,173.0,5160.0,0.008858048357069492,1.0,25.0,0.0,,,,0.007964776018038825,0.008779437361329022,0.030892983078956607,0.00026591570349410176,0.00025,0.0,0.00025,0.00025,0.006320844,0.0042768577,0.020514313,0.0020941156,0.3664552940617169,0.3424371072012496,1.0,0.0,0.021126322000000003,0.0044670543,0.028353285,0.012460253999999999
25,1052.0,0.0,5367.0,5367.0,207.0,5367.0,0.012313310988247395,2.0,30.0,0.0,,,,0.007838037133646699,0.011669492274628651,0.0458579957485199,0.00026300441822968423,0.00025,0.0,0.00025,0.00025,0.0059478557999999996,0.0050411504,0.022077046,0.0021378651999999997,0.7828054538878254,0.5219767118900771,1.8953382542587165,0.0,0.031144877999999997,0.0051169647,0.03936906,0.021862896
