Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,40.0,1.0,20.0,20.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,80.0,2.0,20.0,40.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,120.0,3.0,20.0,60.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,160.0,4.0,20.0,80.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,200.0,5.0,20.0,100.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,240.0,6.0,20.0,120.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,280.0,7.0,20.0,140.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,320.0,8.0,20.0,160.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,360.0,9.0,20.0,180.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,400.0,10.0,20.0,200.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,440.0,11.0,20.0,220.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,480.0,12.0,20.0,240.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,520.0,13.0,20.0,260.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,560.0,14.0,20.0,280.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,600.0,15.0,20.0,300.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,640.0,16.0,20.0,320.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,680.0,17.0,20.0,340.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,720.0,18.0,20.0,360.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,760.0,19.0,20.0,380.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,800.0,20.0,20.0,400.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,840.0,21.0,20.0,420.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,880.0,22.0,20.0,440.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,920.0,23.0,20.0,460.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,960.0,24.0,20.0,480.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,1000.0,25.0,20.0,500.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,1040.0,26.0,20.0,520.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,1080.0,27.0,20.0,540.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,1120.0,28.0,20.0,560.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,1160.0,29.0,20.0,580.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,1200.0,30.0,20.0,600.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,1240.0,31.0,20.0,620.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,1280.0,32.0,20.0,640.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,1320.0,33.0,20.0,660.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,1360.0,34.0,20.0,680.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,1400.0,35.0,20.0,700.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,1440.0,36.0,20.0,720.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,1480.0,37.0,20.0,740.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,1520.0,38.0,20.0,760.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,1560.0,39.0,20.0,780.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,1600.0,40.0,20.0,800.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,1640.0,41.0,20.0,820.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,1680.0,42.0,20.0,840.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,1720.0,43.0,20.0,860.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,1760.0,44.0,20.0,880.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,1800.0,45.0,20.0,900.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,1840.0,46.0,20.0,920.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
47,0.0,1.0,1880.0,47.0,20.0,940.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
48,0.0,1.0,1920.0,48.0,20.0,960.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
49,0.0,1.0,1960.0,49.0,20.0,980.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
50,0.0,1.0,2000.0,50.0,20.0,1000.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
51,0.0,1.0,2040.0,51.0,20.0,1020.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
52,0.0,1.0,2080.0,52.0,20.0,1040.0,0.2,,,1.0,,,,,,,,,,,,,,,,,,,
53,40.0,0.0,2120.0,53.0,20.0,1060.0,0.2,-20.0,-20.0,0.0,,,,1.788420666474849,0.7972170797329968,2.9240810871124268,0.1380782425403595,0.001,0.0,0.001,0.001,0.29834499999999997,0.06979961,0.4631425,0.19640005,-0.057477515,0.34428775,0.8389015999999999,-0.88816804
54,40.0,0.0,2160.0,54.0,20.0,1080.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.053467967000000005,0.30504790000000004,0.6541699000000001,-0.6398404999999999
55,40.0,0.0,2200.0,55.0,20.0,1100.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.063437685,0.28862494,0.70733774,-0.708937
56,40.0,0.0,2240.0,56.0,20.0,1120.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.12074455,0.26880053,0.53119093,-0.9470171999999999
57,40.0,0.0,2280.0,57.0,20.0,1140.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,0.030812002999999998,0.31490833,0.6377125,-0.8515696
58,40.0,0.0,2320.0,58.0,20.0,1160.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,0.017549748,0.355016,0.621644,-1.3347681999999998
59,40.0,0.0,2360.0,59.0,20.0,1180.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.039308667,0.30503220000000003,0.6880231,-0.7091058000000001
60,40.0,0.0,2400.0,60.0,20.0,1200.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,0.049752418,0.3440457,0.79209685,-0.97077364
61,40.0,0.0,2440.0,61.0,20.0,1220.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.10397680000000001,0.2958986,0.60587305,-0.7897188
62,40.0,0.0,2480.0,62.0,20.0,1240.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.0593346,0.28120008,0.5800812,-0.5590689
63,40.0,0.0,2520.0,63.0,20.0,1260.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.11857803,0.38786468,0.7207461,-0.93637455
64,40.0,0.0,2560.0,64.0,20.0,1280.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.054956276,0.33019084,0.77763844,-0.9107003
65,40.0,0.0,2600.0,65.0,20.0,1300.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,0.098296374,0.2545135,0.624102,-0.6478659000000001
66,40.0,0.0,2640.0,66.0,20.0,1320.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.025148107000000003,0.27126738,0.5853495,-0.7327049
67,40.0,0.0,2680.0,67.0,20.0,1340.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.08581509400000001,0.34135804,0.65370494,-0.837227
68,40.0,0.0,2720.0,68.0,20.0,1360.0,0.2,-20.0,-20.0,1.0,,,,,,,,,,,,,,,,-0.0128417825,0.29826543,0.6500253,-0.5779166
69,80.0,0.0,2760.0,69.0,20.0,1380.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.041440155,0.3153057,0.9199128000000001,-0.69652253
70,80.0,0.0,2800.0,70.0,20.0,1400.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.2647102,0.31465498,0.60686177,-0.83241576
71,80.0,0.0,2840.0,71.0,20.0,1420.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.23418609999999998,0.2439958,0.4338612,-1.0495415000000001
72,80.0,0.0,2880.0,72.0,20.0,1440.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.20160769,0.26294634,0.3354667,-0.70432997
73,80.0,0.0,2920.0,73.0,20.0,1460.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.022434171,0.3322036,0.60831016,-1.028979
74,80.0,0.0,2960.0,74.0,20.0,1480.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.03592514,0.24645022,0.5872613,-0.7750514000000001
75,80.0,0.0,3000.0,75.0,20.0,1500.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.110458456,0.32077467,0.51220584,-1.0044290999999999
76,80.0,0.0,3040.0,76.0,20.0,1520.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.09301101,0.24141781,0.58104557,-0.7399627
77,80.0,0.0,3080.0,77.0,20.0,1540.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,0.040295787,0.24019487,0.67142236,-0.45559046
78,80.0,0.0,3120.0,78.0,20.0,1560.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.19686767,0.26300707,0.44856775,-0.73411113
79,80.0,0.0,3160.0,79.0,20.0,1580.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.28969327,0.23634753,0.5184896,-0.93427646
80,80.0,0.0,3200.0,80.0,20.0,1600.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.13052219,0.1846933,0.55720615,-0.7042908
81,80.0,0.0,3240.0,81.0,20.0,1620.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.079349004,0.19922546,0.5450636,-0.52065104
82,80.0,0.0,3280.0,82.0,20.0,1640.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.11359084400000001,0.32017502,0.45879307,-0.83050984
83,80.0,0.0,3320.0,83.0,20.0,1660.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.15946002,0.30087674,0.5466099,-0.8096107
84,80.0,0.0,3360.0,84.0,20.0,1680.0,0.2,-20.0,-20.0,1.0,,,,,,,,,,,,,,,,-0.21960837,0.19676171,0.2453717,-0.66617614
85,120.0,0.0,3400.0,85.0,20.0,1700.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.09715022,0.23075904,0.65259224,-0.7105066
86,120.0,0.0,3440.0,86.0,20.0,1720.0,0.2,-20.0,-20.0,0.0,,,,,,,,,,,,,,,,-0.28601944,0.29938259999999994,0.35688046,-1.0059999
