Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
1,0.0,1.0,13.0,1.0,13.0,13.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,16.0,1.0,16.0,29.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,27.0,1.0,27.0,56.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,11.0,1.0,11.0,67.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,10.0,1.0,10.0,77.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,17.0,1.0,17.0,94.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,12.0,1.0,12.0,106.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,15.0,1.0,15.0,121.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,17.0,1.0,17.0,138.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,34.0,1.0,34.0,172.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,15.0,1.0,15.0,187.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,14.0,1.0,14.0,201.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,17.0,1.0,17.0,218.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,17.0,1.0,17.0,235.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,27.0,1.0,27.0,262.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,17.0,1.0,17.0,279.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,51.0,1.0,51.0,330.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,20.0,1.0,20.0,350.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,52.0,1.0,52.0,402.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,9.0,1.0,9.0,411.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,37.0,1.0,37.0,448.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,14.0,1.0,14.0,462.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,36.0,1.0,36.0,498.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,12.0,1.0,12.0,510.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,19.0,1.0,19.0,529.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,25.0,1.0,25.0,554.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,12.0,1.0,12.0,566.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,52.0,1.0,52.0,618.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,26.0,1.0,26.0,644.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,16.0,1.0,16.0,660.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,33.0,1.0,33.0,693.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,14.0,1.0,14.0,707.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,16.0,1.0,16.0,723.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,13.0,1.0,13.0,736.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,31.0,1.0,31.0,767.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,11.0,1.0,11.0,778.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,22.0,1.0,22.0,800.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,25.0,1.0,25.0,825.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,20.0,1.0,20.0,845.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,22.0,1.0,22.0,867.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,49.0,1.0,49.0,916.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,14.0,1.0,14.0,930.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,22.0,1.0,22.0,952.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,12.0,1.0,12.0,964.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,20.0,1.0,20.0,984.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,10.0,1.0,10.0,994.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,1.0,17.0,1.0,17.0,1011.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.0,1.0,32.0,1.0,32.0,1043.0,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,0.0,11.0,1.0,11.0,1054.0,0.4998922,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.11334019,0.086434506,-0.009013593,-0.29404053,0.00031261443,0.0,0.00031261443,0.00031261443
50,4.0,0.0,14.0,1.0,14.0,1068.0,0.4997549999999999,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.04595248,0.09777075,0.05910712,-0.27062762,0.007679211,0.0011531905999999999,0.008832402,0.006526020400000001
51,6.0,0.0,10.0,1.0,10.0,1078.0,0.4996569999999999,0.05,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.061323795,0.116377786,0.061671004,-0.33289376,0.011037513,0.0,0.011037513,0.011037513
52,8.0,0.0,10.0,1.0,10.0,1088.0,0.4995589999999998,0.05,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.040797997,0.061232623,0.0052372445,-0.17478867,0.0023043482,0.0,0.0023043482,0.0023043482
53,13.0,0.0,23.0,1.0,23.0,1111.0,0.4993335999999997,0.11500000000000005,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.02518243,0.04911742,0.016739255,-0.15406038,0.0024404342,0.0020496387,0.0058667175,0.0006853917999999999
54,16.0,0.0,16.0,1.0,16.0,1127.0,0.4991767999999997,0.08,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.06261434,0.07953216,0.010560146000000001,-0.21962361,0.005461837,0.0037175182,0.009179356,0.0017443192
55,18.0,0.0,11.0,1.0,11.0,1138.0,0.4990689999999996,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.016799627,0.028015152999999998,0.010584705500000001,-0.060546834,0.0024204415,0.0,0.0024204415,0.0024204415
56,21.0,0.0,12.0,1.0,12.0,1150.0,0.4989513999999996,0.05999999999999999,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.020242068999999998,0.031994887,0.0064368825,-0.08788441,0.000447504,0.00011749036,0.00056499435,0.00033001362999999996
57,24.0,0.0,12.0,1.0,12.0,1162.0,0.4988337999999995,0.05999999999999999,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.02581188,0.05342697,0.013265121999999999,-0.1407112,0.000561739,0.00023890035,0.0008006394,0.0003228387
58,26.0,0.0,11.0,1.0,11.0,1173.0,0.4987259999999994,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.0188864,0.048460122,0.023163898,-0.124500304,0.0002990591,0.0,0.0002990591,0.0002990591
59,29.0,0.0,12.0,1.0,12.0,1185.0,0.4986083999999994,0.05999999999999999,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.0021370735,0.019083701,0.017160062,-0.04211059,0.0008469604699999999,0.00038482156,0.001231782,0.00046213894
60,38.0,0.0,45.0,1.0,45.0,1230.0,0.4981673999999992,0.2250000000000001,45.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0134103345,0.007373078000000001,0.02726023,-0.0028613590000000004,0.00013432381,0.000108895736,0.00036424762,1.6844946e-05
61,54.0,0.0,79.0,1.0,79.0,1309.0,0.4973931999999989,0.39500000000000013,79.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.019521208,0.010346689000000001,0.06962388,0.007612623000000001,0.0003810797,0.00038216266000000004,0.0017224783999999999,8.132505e-05
62,72.0,0.0,91.0,1.0,91.0,1400.0,0.4965013999999985,0.4550000000000003,91.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.02544692,0.011931223999999999,0.058424763,0.007835629,0.00044312864000000003,0.0005485766500000001,0.002521494,5.9995673e-05
63,85.0,0.0,66.0,1.0,66.0,1466.0,0.4958545999999982,0.3300000000000002,66.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.030509047,0.014391611,0.069752395,0.0061521064,0.00044790315000000004,0.00033899699999999995,0.0011414613,7.61554e-05
64,91.0,0.0,27.0,1.0,27.0,1493.0,0.4955899999999981,0.13500000000000004,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.037749,0.010442640999999999,0.06936702,0.024935106000000002,0.0005568742,0.00037527786,0.0011620866,0.00016186498
65,100.0,0.0,46.0,1.0,46.0,1539.0,0.4951391999999979,0.2300000000000001,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.032013018,0.006770315,0.051040925,0.02152776,0.00040179523,0.00029288736,0.0009612048,2.3905630000000002e-05
66,107.0,0.0,33.0,1.0,33.0,1572.0,0.4948157999999978,0.16500000000000006,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.038522866,0.0070216274,0.054873377,0.029196097999999997,0.0004341259,0.00022453765,0.0007005964999999999,0.00011860867399999999
67,122.0,0.0,76.0,1.0,76.0,1648.0,0.4940709999999974,0.3800000000000002,76.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.03566738,0.007798716999999999,0.05671025,0.025106957000000003,0.00033537866,0.00024057953999999997,0.0007599762,1.9276035999999998e-05
68,133.0,0.0,53.0,1.0,53.0,1701.0,0.4935515999999972,0.2650000000000001,53.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.042584255,0.006380953000000001,0.060133994,0.03171277,0.00029518270000000003,0.00023176244999999999,0.0008322231,4.9906899999999995e-05
