Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,13.0,1.0,13.0,13.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,29.0,2.0,16.0,29.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,56.0,3.0,27.0,56.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,67.0,4.0,11.0,67.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,77.0,5.0,10.0,77.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,94.0,6.0,17.0,94.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,106.0,7.0,12.0,106.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,121.0,8.0,15.0,121.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,138.0,9.0,17.0,138.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,172.0,10.0,34.0,172.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,187.0,11.0,15.0,187.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,201.0,12.0,14.0,201.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,218.0,13.0,17.0,218.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,235.0,14.0,17.0,235.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,262.0,15.0,27.0,262.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,279.0,16.0,17.0,279.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,330.0,17.0,51.0,330.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,350.0,18.0,20.0,350.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,402.0,19.0,52.0,402.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,411.0,20.0,9.0,411.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,448.0,21.0,37.0,448.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,462.0,22.0,14.0,462.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,498.0,23.0,36.0,498.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,510.0,24.0,12.0,510.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,529.0,25.0,19.0,529.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,554.0,26.0,25.0,554.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,566.0,27.0,12.0,566.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,618.0,28.0,52.0,618.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,644.0,29.0,26.0,644.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,660.0,30.0,16.0,660.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,693.0,31.0,33.0,693.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,707.0,32.0,14.0,707.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,723.0,33.0,16.0,723.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,736.0,34.0,13.0,736.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,767.0,35.0,31.0,767.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,778.0,36.0,11.0,778.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,800.0,37.0,22.0,800.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,825.0,38.0,25.0,825.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,845.0,39.0,20.0,845.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,867.0,40.0,22.0,867.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,916.0,41.0,49.0,916.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,930.0,42.0,14.0,930.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,952.0,43.0,22.0,952.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,964.0,44.0,12.0,964.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,984.0,45.0,20.0,984.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,994.0,46.0,10.0,994.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
47,0.0,1.0,1011.0,47.0,17.0,1011.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
48,0.0,1.0,1043.0,48.0,32.0,1043.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
49,29.0,0.0,1073.0,49.0,30.0,1073.0,0.9970300000000012,30.0,30.0,0.0,,,,4.711737410775545,1.1585869697673414,7.548813819885254,3.16243839263916,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,4.254526599999999,0.49879533,5.149492700000001,3.4951174,,,,
50,51.0,0.0,1095.0,50.0,22.0,1095.0,0.994852000000002,22.0,22.0,0.0,,,,3.641403935172341,0.5997834992528704,5.0619001388549805,2.5320894718170166,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,4.0483080000000005,0.5483329,5.204422,3.1539161,,,,
51,71.0,0.0,1115.0,51.0,20.0,1115.0,0.9928720000000028,20.0,20.0,1.0,,,,2.752446866035461,0.5364733675518263,3.970012664794922,1.8261388540267944,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,3.3501803999999997,0.71811527,5.201232,1.8365623,0.5653838000000001,0.013867228999999998,0.5792510000000001,0.55151653
52,114.0,0.0,1158.0,52.0,43.0,1158.0,0.9886150000000046,43.0,43.0,0.0,,,,3.1756734543068466,1.5330029104099308,7.758665561676025,1.5044224262237549,0.00025,0.0,0.00025,0.00025,5.3260994,3.271183,12.855732000000001,2.0721061,1.251878,0.08368385,1.3355618999999999,1.1681941999999998
53,142.0,0.0,1186.0,53.0,28.0,1186.0,0.9858430000000056,28.0,28.0,0.0,,,,2.3496922637735094,0.6986200864592048,4.20275354385376,0.8112772703170776,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,5.702291000000001,2.0417568999999998,12.292,2.4872572,,,,
54,177.0,0.0,1221.0,54.0,35.0,1221.0,0.9823780000000072,35.0,35.0,1.0,,,,1.520025168146406,0.4655812157848958,2.7545199394226074,0.6761009693145752,0.00025,0.0,0.00025,0.00025,3.8986316,1.0736573,6.092991400000001,1.9879064999999998,2.9225437999999997,0.031670093999999996,2.9542139,2.8908737
55,209.0,0.0,1253.0,55.0,32.0,1253.0,0.9792100000000084,32.0,32.0,0.0,,,,1.8295010235160591,1.4164042586676668,5.5940046310424805,0.4157370328903198,0.00025,0.0,0.00025,0.00025,7.195072,6.1819253,21.80442,1.1787143,,,,
56,223.0,0.0,1267.0,56.0,14.0,1267.0,0.9778240000000088,14.0,14.0,0.0,,,,2.3960663165364946,0.8240320607326908,4.493719100952148,1.3623831272125244,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,8.3402,3.0789497000000003,12.941803,2.5403118,5.056166999999999,0.09003353,5.1462007000000005,4.966133599999999
57,244.0,0.0,1288.0,57.0,21.0,1288.0,0.9757450000000096,21.0,21.0,0.0,,,,1.7311024765173595,0.8956115884707736,3.95862889289856,0.3861173689365387,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,7.1710625,3.724507,16.522758,1.8857863000000001,,,,
58,298.0,0.0,1342.0,58.0,54.0,1342.0,0.970399000000012,54.0,54.0,1.0,,,,1.2218480827631777,0.6202327294209263,3.2065725326538086,0.2757408618927002,0.00025,0.0,0.00025,0.00025,4.7948008,2.2538869999999998,11.301828,1.4486566,4.7317767,0.27015427,5.0961739999999995,4.335014
