Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
1,0.0,1.0,15.0,1.0,15.0,15.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,
2,0.0,1.0,16.0,1.0,16.0,31.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.04044747932477151,0.02128626449475752,0.07427111445256218,0.005,,,,,,,,,,,,
3,0.0,1.0,27.0,1.0,27.0,58.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06429497630302354,0.0340862968900576,0.11882864282644813,0.005,,,,,,,,,,,,
4,0.0,1.0,11.0,1.0,11.0,69.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,,,,,,,,,,,,
5,0.0,1.0,10.0,1.0,10.0,79.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,,,,,,,,,,,,
6,0.0,1.0,17.0,1.0,17.0,96.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
7,0.0,1.0,12.0,1.0,12.0,108.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,,,,,,,,,,,,
8,0.0,1.0,15.0,1.0,15.0,123.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,
9,0.0,1.0,17.0,1.0,17.0,140.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
10,0.0,1.0,34.0,1.0,34.0,174.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.07859955146995502,0.041509921651436785,0.1447233863638538,0.005,,,,,,,,,,,,
11,0.0,1.0,15.0,1.0,15.0,189.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,,,,,,,,,,,,
12,0.0,1.0,14.0,1.0,14.0,203.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,,,,,,,,,,,,
13,0.0,1.0,17.0,1.0,17.0,220.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
14,0.0,1.0,17.0,1.0,17.0,237.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
15,0.0,1.0,27.0,1.0,27.0,264.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.06429497630302354,0.0340862968900576,0.11882864282644813,0.005,,,,,,,,,,,,
16,0.0,1.0,17.0,1.0,17.0,281.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,,,,,,,,,,,,
17,0.0,1.0,51.0,1.0,51.0,332.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.11075141804068593,0.05745852664846605,0.2005219967669193,0.005,,,,,,,,,,,,
18,0.0,1.0,20.0,1.0,20.0,352.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,,,,,,,,,,,,
19,0.0,1.0,52.0,1.0,52.0,404.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.11253536724758137,0.05831207811499739,0.20351677679925012,0.005,,,,,,,,,,,,
