Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,1.0,3.0,1.0,3.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.9402663333333332,0.04053963410732216,0.99,0.8906989999999999,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,75.0,1.0,75.0,78.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.4775698374009354,0.7254615625761675,-0.09,-2.567497597928584,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,75.0,1.0,75.0,153.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.4134964822107874,0.7135591158632512,-0.04,-2.5150279175170787,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,75.0,1.0,75.0,228.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.4530041098177515,0.7142002159802731,-0.04,-2.5356029471077624,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,6.0,1.0,6.0,234.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.8226434579504999,0.10552707722518499,0.97,0.6774155480029999,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,60.0,1.0,60.0,294.0,0.0,,,0.0,,,,,,,,,,,,,,,,-0.40143972391204497,0.7319253820720266,0.9601,-1.4839759249017908,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,75.0,1.0,75.0,369.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.4423837336103338,0.7142986848251571,-0.04,-2.543648686658836,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,75.0,1.0,75.0,444.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.3783474635768491,0.6947776145239623,-0.04,-2.440645860926629,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,15.0,1.0,15.0,459.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.6454917355998016,0.2161192575014036,0.99,0.2860366057172017,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,7.0,1.0,7.0,466.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.8427701992017128,0.09733842776448526,0.99,0.6979859455109899,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,75.0,1.0,75.0,541.0,0.0,,,0.0,,,,,,,,,,,,,,,,-1.522113733716796,0.7471729130859858,-0.04,-2.63476232294182,,,,,,,,,,,,,,,,,,,,
