Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,65.0,65.0,65.0,65.0,0.0,,,0.0,,,,,,,,,,,,,,,,-46.39309781107478,78.69078630967911,99.0,-163.47927921495085,,,,
2,0.0,1.0,140.0,140.0,75.0,140.0,0.0,,,0.0,,,,,,,,,,,,,,,,-145.11733929351846,77.45119435465236,-4.0,-258.74949043420304,,,,
3,0.0,1.0,187.0,187.0,47.0,187.0,0.0,,,0.0,,,,,,,,,,,,,,,,-14.124982524140995,59.166064787437755,96.01,-103.3952103168219,,,,
4,0.0,1.0,262.0,262.0,75.0,262.0,0.0,,,0.0,,,,,,,,,,,,,,,,-147.10186751984475,71.18101362111399,-4.0,-252.19555490920843,,,,
5,0.0,1.0,265.0,265.0,3.0,265.0,0.0,,,0.0,,,,,,,,,,,,,,,,94.02663333333334,4.053963410732211,99.0,89.0699,,,,
6,0.0,1.0,277.0,277.0,12.0,277.0,0.0,,,0.0,,,,,,,,,,,,,,,,70.40749385959573,18.485081950657637,99.0,41.97080882509949,,,,
7,0.0,1.0,343.0,343.0,66.0,343.0,0.0,,,0.0,,,,,,,,,,,,,,,,-48.80936600486318,80.34021001863798,99.0,-175.54123074423256,,,,
8,0.0,1.0,356.0,356.0,13.0,356.0,0.0,,,0.0,,,,,,,,,,,,,,,,70.13084248857672,17.67662622826485,99.0,42.30605098634849,,,,
9,0.0,1.0,366.0,366.0,10.0,366.0,0.0,,,0.0,,,,,,,,,,,,,,,,71.82435460159118,15.51820933922208,97.0,49.310671252364514,,,,
10,0.0,1.0,372.0,372.0,6.0,372.0,0.0,,,0.0,,,,,,,,,,,,,,,,86.69009081501667,8.353358589486014,99.0,74.5440349001,,,,
11,0.0,1.0,447.0,447.0,75.0,447.0,0.0,,,0.0,,,,,,,,,,,,,,,,-138.40596798936093,70.01123795990729,-9.0,-243.63184243230225,,,,
12,0.0,1.0,452.0,452.0,5.0,452.0,0.0,,,0.0,,,,,,,,,,,,,,,,85.16890399399999,9.111137050102801,97.0,72.46621696999998,,,,
13,0.0,1.0,456.0,456.0,4.0,456.0,0.0,,,0.0,,,,,,,,,,,,,,,,91.56477525,5.523422867125757,99.0,84.17920099999998,,,,
14,0.0,1.0,531.0,531.0,75.0,531.0,0.0,,,0.0,,,,,,,,,,,,,,,,-141.31846016799287,68.73089096339329,-4.0,-241.4254089636417,,,,
15,0.0,1.0,535.0,535.0,4.0,535.0,0.0,,,0.0,,,,,,,,,,,,,,,,91.56477525,5.523422867125757,99.0,84.17920099999998,,,,
16,0.0,1.0,604.0,604.0,69.0,604.0,0.0,,,0.0,,,,,,,,,,,,,,,,-59.19519221300213,83.80512135465513,96.01,-188.03567411417015,,,,
17,0.0,1.0,634.0,634.0,30.0,634.0,0.0,,,0.0,,,,,,,,,,,,,,,,24.450353672843228,44.387031797498466,99.0,-44.78293545641712,,,,
18,0.0,1.0,709.0,709.0,75.0,709.0,0.0,,,0.0,,,,,,,,,,,,,,,,-141.70517126690208,73.12708685808927,-4.0,-251.2334561109327,,,,
19,0.0,1.0,746.0,746.0,37.0,746.0,0.0,,,0.0,,,,,,,,,,,,,,,,9.360214765701393,47.1423598403253,96.01,-68.14472673061566,,,,
20,0.0,1.0,752.0,752.0,6.0,752.0,0.0,,,0.0,,,,,,,,,,,,,,,,82.26434579505,10.5527077225185,97.0,67.74155480030001,,,,
21,0.0,1.0,761.0,761.0,9.0,761.0,0.0,,,0.0,,,,,,,,,,,,,,,,78.39326117403546,14.001209986736805,99.0,55.49960251953212,,,,
22,0.0,1.0,836.0,836.0,75.0,836.0,0.0,,,0.0,,,,,,,,,,,,,,,,-137.8242175825955,70.69869213458422,-4.0,-244.07256243742756,,,,
23,0.0,1.0,902.0,902.0,66.0,902.0,0.0,,,0.0,,,,,,,,,,,,,,,,-54.42280849950666,82.9023485115816,99.0,-176.84944079830865,,,,
24,0.0,1.0,905.0,905.0,3.0,905.0,0.0,,,0.0,,,,,,,,,,,,,,,,94.02663333333334,4.053963410732211,99.0,89.0699,,,,
25,0.0,1.0,909.0,909.0,4.0,909.0,0.0,,,0.0,,,,,,,,,,,,,,,,91.56477525,5.523422867125757,99.0,84.17920099999998,,,,
26,0.0,1.0,984.0,984.0,75.0,984.0,0.0,,,0.0,,,,,,,,,,,,,,,,-142.71642638668678,71.52798320591751,-4.0,-250.46735374745938,,,,
27,0.0,1.0,993.0,993.0,9.0,993.0,0.0,,,0.0,,,,,,,,,,,,,,,,67.91537963119279,27.36940757923588,96.01,-1.0,,,,
28,0.0,1.0,1000.0,1000.0,7.0,1000.0,0.0,,,0.0,,,,,,,,,,,,,,,,84.27701992017128,9.733842776448524,99.0,69.798594551099,,,,
29,0.0,1.0,1012.0,1012.0,12.0,1012.0,0.0,,,0.0,,,,,,,,,,,,,,,,72.4495751137624,16.38923228472349,99.0,46.7737888750995,,,,
30,0.0,1.0,1058.0,1058.0,46.0,1058.0,0.0,,,0.0,,,,,,,,,,,,,,,,-12.388710897323215,62.69090801323776,99.0,-111.41534645174877,,,,
31,74.0,0.0,1133.0,1133.0,75.0,1133.0,0.0,-345.0,-345.0,0.0,,,,195.59440091816154,215.70674837506863,668.09228515625,3.505661964416504,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,73.560326,47.1308,277.42252,15.524038000000001,-129.86452147253885,71.39470845782733,-4.0,-250.10263524807647,-2.3208995,1.1044129999999999,-0.008773653000000001,-4.9992337
32,149.0,0.0,1208.0,1208.0,75.0,1208.0,0.0,-300.0,-300.0,0.0,,,,193.00870104738186,235.1095159561993,967.5367431640624,2.5766139030456543,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,82.96231999999999,49.800014000000004,275.80017000000004,29.470625,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-2.7496912,0.7866171999999999,-1.0286078,-4.679182
33,224.0,0.0,1283.0,1283.0,75.0,1283.0,0.0,-300.0,-300.0,0.0,,,,200.6991170741416,264.4062680821678,1271.7939453125,3.8588223457336426,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,82.90056,50.907222999999995,340.33417000000003,28.500763,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-2.398921,0.77215576,-1.1434081,-4.3393836
34,299.0,0.0,1358.0,1358.0,75.0,1358.0,0.0,-330.0,-330.0,0.0,,,,171.50682048056578,226.70222299301585,674.0829467773438,0.9444401264190674,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,86.456,56.75298000000001,346.04,26.18143,-131.27301889139574,70.70238794952655,-4.0,-233.88407659742737,-2.97728,0.8454431,-1.5115094,-5.350374700000001
35,374.0,0.0,1433.0,1433.0,75.0,1433.0,0.0,-300.0,-300.0,0.0,,,,197.38097411555214,261.5070389218795,1290.1295166015625,1.1988646984100342,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,85.125404,61.41194,473.3945,30.85265,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-2.5660877,0.8789531999999999,-0.9858234,-4.711318
36,449.0,0.0,1508.0,1508.0,75.0,1508.0,0.0,-305.0,-305.0,0.0,,,,138.45956873249364,195.5914326321157,651.5878295898438,0.7684401273727417,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,76.81886,49.6135,298.76572000000004,10.060429,-121.46002828325743,61.792795723481724,-4.0,-216.06563513894628,-3.1286669,0.83557814,-1.5789417,-5.235481299999999
37,524.0,0.0,1583.0,1583.0,75.0,1583.0,0.0,-300.0,-300.0,0.0,,,,153.41735507346488,259.06224869800633,1005.3265380859376,1.3390848636627195,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,87.82551600000001,76.76982,542.1377,11.513971000000002,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-2.9946196,0.8240854999999999,-1.575434,-5.140072
38,599.0,0.0,1658.0,1658.0,75.0,1658.0,0.0,-300.0,-300.0,0.0,,,,182.4712194478189,216.01461030939618,964.1883544921876,0.7502191066741943,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,76.58372,49.871727,351.9096,18.099703,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-2.7442644,0.8647341000000001,-1.0660112,-5.221615
39,674.0,0.0,1733.0,1733.0,75.0,1733.0,0.0,-360.0,-360.0,0.0,,,,143.40294847617278,211.86968142228767,663.116943359375,0.9635372161865234,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,76.653366,56.373630000000006,289.47534,7.244074,-148.15999599835962,77.46076350667812,-4.0,-251.39394242548494,-3.2106404,0.88927054,-1.6633206999999999,-5.2816873
