Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,65.0,65.0,65.0,65.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,140.0,140.0,75.0,140.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,187.0,187.0,47.0,187.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,262.0,262.0,75.0,262.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,265.0,265.0,3.0,265.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,277.0,277.0,12.0,277.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,343.0,343.0,66.0,343.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,356.0,356.0,13.0,356.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,366.0,366.0,10.0,366.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,372.0,372.0,6.0,372.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,447.0,447.0,75.0,447.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,452.0,452.0,5.0,452.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,456.0,456.0,4.0,456.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,531.0,531.0,75.0,531.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,535.0,535.0,4.0,535.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,604.0,604.0,69.0,604.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,634.0,634.0,30.0,634.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,709.0,709.0,75.0,709.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,746.0,746.0,37.0,746.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,752.0,752.0,6.0,752.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,761.0,761.0,9.0,761.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,836.0,836.0,75.0,836.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,902.0,902.0,66.0,902.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,905.0,905.0,3.0,905.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,909.0,909.0,4.0,909.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,984.0,984.0,75.0,984.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,993.0,993.0,9.0,993.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,1000.0,1000.0,7.0,1000.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,1012.0,1012.0,12.0,1012.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,1058.0,1058.0,46.0,1058.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,
31,46.0,0.0,1105.0,1105.0,47.0,1105.0,0.4995393999999998,-125.0,-125.0,0.0,,,,184.56125844561532,255.58705549569203,992.4317016601562,3.4984500408172607,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,98.720055,76.4085,421.4712,14.642651,-2.3607577999999996,1.0796417,-0.069626875,-3.9552975
32,55.0,0.0,1114.0,1114.0,9.0,1114.0,0.4994511999999998,67.0,67.0,0.0,,,,292.59537188212084,281.27312358507567,659.1957397460938,4.717470169067383,0.00025,0.0,0.00025,0.00025,113.91358999999999,66.16575999999999,243.5704,40.831696,-2.857066,0.41237098,-2.307846,-3.5412793
33,128.0,0.0,1187.0,1187.0,73.0,1187.0,0.4987357999999994,-214.0,-214.0,0.0,,,,222.22538928136436,229.46330916512053,955.772705078125,2.8766438961029053,0.00025,0.0,0.00025,0.00025,89.118324,55.820280000000004,354.86404,23.368458,-2.515911,0.8276661,-1.3556501,-4.314393
34,203.0,0.0,1262.0,1262.0,75.0,1262.0,0.4980007999999991,-335.0,-335.0,0.0,,,,253.7131124083201,283.90161858234774,1271.4317626953125,3.9465601444244394,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,89.7423,71.69072,519.8387,16.796665,-2.1093106,0.83036304,-0.67033327,-4.4733696
35,278.0,0.0,1337.0,1337.0,75.0,1337.0,0.4972657999999988,-345.0,-345.0,0.0,,,,195.5004074223836,226.7523838185541,942.6851196289062,3.0009551048278813,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,83.01932,51.753215999999995,302.9175,17.203316,-2.428269,0.87375116,-0.8230245,-4.873583999999999
36,353.0,0.0,1412.0,1412.0,75.0,1412.0,0.4965307999999985,-330.0,-330.0,0.0,,,,211.1395700931549,285.7684170743752,1271.789306640625,2.486647605895996,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,94.23015,78.01655,509.3335,14.0831,-2.3993487,1.0599855,-0.8465924000000001,-5.22532
37,375.0,0.0,1434.0,1434.0,22.0,1434.0,0.4963151999999984,5.0,5.0,0.0,,,,266.5752758546309,221.65005875186367,633.898193359375,8.523861885070799,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,78.86961,36.96875,207.75316999999998,34.453514,-1.7415271,0.5906859,-0.8532992,-2.839848
38,385.0,0.0,1444.0,1444.0,10.0,1444.0,0.4962171999999984,63.0,63.0,0.0,,,,129.81730389595032,152.00340568625091,322.36724853515625,4.1676368713378915,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,70.198975,9.002027,81.09009,53.61254,-1.8514711,0.28122255,-1.5239315,-2.4666271
39,460.0,0.0,1519.0,1519.0,75.0,1519.0,0.4954821999999981,-345.0,-345.0,0.0,,,,174.79833785057068,224.61976412557556,645.8341674804688,2.1870639324188232,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,88.57722,68.01323000000001,320.00684,11.841830999999999,-2.9862127,1.025844,-1.0045396999999998,-5.676137000000001
40,535.0,0.0,1594.0,1594.0,75.0,1594.0,0.4947471999999977,-340.0,-340.0,0.0,,,,202.37724554379778,248.0718853652254,915.5925903320312,2.770477294921875,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,94.51169,56.295326,345.67492999999996,16.057863,-3.4495842000000003,1.4400876,-0.6531092,-7.199542500000001
41,596.0,0.0,1655.0,1655.0,61.0,1655.0,0.4941493999999975,-185.0,-185.0,0.0,,,,204.72135801002628,233.7136551893224,937.8370361328124,2.078720092773437,0.00025,0.0,0.00025,0.00025,104.02452,68.83136999999999,416.42328,23.052616,-3.4190834000000003,1.0382328,-0.77940595,-5.825955400000001
42,671.0,0.0,1730.0,1730.0,75.0,1730.0,0.4934143999999971,-365.0,-365.0,0.0,,,,148.1832465839386,202.50670436476952,616.4293823242188,3.6661007404327393,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,110.282524,85.12393,452.48682,30.886779999999998,-4.262445,1.649155,-0.5421696,-8.342317999999999
43,686.0,0.0,1745.0,1745.0,15.0,1745.0,0.4932673999999971,38.0,38.0,0.0,,,,158.08276685078943,196.62824584316283,581.2333374023438,8.965060234069824,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,126.72742,80.32327,311.046,54.228744999999996,-1.9862165,2.0738678,3.8120732000000004,-4.312892
44,749.0,0.0,1808.0,1808.0,63.0,1808.0,0.4926499999999968,-178.0,-178.0,0.0,,,,169.55469351723082,232.19260976459702,943.2130126953124,4.384130001068115,0.00025,0.0,0.00025,0.00025,181.0406,159.42397,752.1423,24.41631,-3.2800190000000002,1.530837,2.1309549999999997,-6.593868700000001
45,824.0,0.0,1883.0,1883.0,75.0,1883.0,0.4919149999999965,-345.0,-345.0,0.0,,,,177.40984188715618,170.43332836938845,551.4833984375,4.032510757446288,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,240.54882999999998,154.4388,750.9536,43.599712,-3.6355072999999996,1.3243923999999998,-0.76449907,-7.1863399999999995
46,899.0,0.0,1958.0,1958.0,75.0,1958.0,0.4911799999999962,-370.0,-370.0,0.0,,,,107.74504981358848,136.92076906977704,579.69775390625,5.820958137512207,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,253.1854,178.24025,783.1318,58.43884,-3.5404828,1.4386174999999999,4.488691,-6.4101040000000005
47,974.0,0.0,2033.0,2033.0,75.0,2033.0,0.4904449999999959,-330.0,-330.0,1.0,,,,142.91087206522624,174.63430006315315,818.2090454101562,4.913094520568848,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,386.61816,308.69333,1367.3169,47.648540000000004,-3.0992866,3.1579217999999996,15.325176,-6.8354289999999995
48,1027.0,0.0,2086.0,2086.0,53.0,2086.0,0.4899255999999956,-149.0,-149.0,0.0,,,,135.81748929113712,142.4817192970319,551.1571044921875,4.117680549621582,0.00025,0.0,0.00025,0.00025,404.22742,255.2915,1054.0106,40.439728,-4.8725424,1.8845164,1.9930395,-8.767546000000001
49,1102.0,0.0,2161.0,2161.0,75.0,2161.0,0.4891905999999953,-345.0,-345.0,0.0,,,,130.6461073811849,146.66677332814214,826.9383544921875,6.3789167404174805,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,583.69507,351.5975,1726.4467,114.39133500000001,-5.726580599999999,5.752876799999999,22.008942,-13.187629000000001
