Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,27.0,27.0,27.0,27.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0002516098225667037,0.00042541418704810296,0.001,0.0,,,,
2,0.0,1.0,54.0,54.0,27.0,54.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.004735183979535818,0.003231659794164425,0.008452495392719559,0.0,,,,
3,0.0,1.0,81.0,81.0,27.0,81.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0021999809223264308,0.0012275070214652073,0.004450510253506932,0.0,,,,
4,0.0,1.0,108.0,108.0,27.0,108.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00380341850713044,0.002506325356001919,0.00805361313441897,0.0,,,,
5,0.0,1.0,135.0,135.0,27.0,135.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00011074074074074077,0.00041405784106523033,0.00199,0.0,,,,
6,0.0,1.0,162.0,162.0,27.0,162.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00011074074074074077,0.00041405784106523033,0.00199,0.0,,,,
7,0.0,1.0,189.0,189.0,27.0,189.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.002997589325143781,0.0012147224539993196,0.003940399,0.0,,,,
8,0.0,1.0,216.0,216.0,27.0,216.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
9,0.0,1.0,243.0,243.0,27.0,243.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00025668144444444444,0.000690822412552863,0.0029602990000000004,0.0,,,,
10,0.0,1.0,270.0,270.0,27.0,270.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0016745759066507323,0.00037958417926393565,0.00199,0.0,,,,
11,0.0,1.0,297.0,297.0,27.0,297.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.002071600739826856,0.0017140415062976914,0.00392089501,0.0,,,,
12,0.0,1.0,324.0,324.0,27.0,324.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0011084617064165893,0.0016070884027946488,0.005758298322492445,0.0,,,,
13,0.0,1.0,351.0,351.0,27.0,351.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.005076632718422521,0.0012576012893563016,0.006696271884874665,0.001,,,,
14,0.0,1.0,378.0,378.0,27.0,378.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00011000370370370372,0.0003111492442679313,0.001,0.0,,,,
15,0.0,1.0,405.0,405.0,27.0,405.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.007717067950515281,0.003705964843308094,0.013046860255920072,0.0,,,,
16,0.0,1.0,432.0,432.0,27.0,432.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0025535042738845768,0.0011129722269111666,0.0036239642493563853,0.0,,,,
17,0.0,1.0,459.0,459.0,27.0,459.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
18,0.0,1.0,486.0,486.0,27.0,486.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00025668144444444444,0.000690822412552863,0.0029602990000000004,0.0,,,,
19,0.0,1.0,513.0,513.0,27.0,513.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
20,0.0,1.0,540.0,540.0,27.0,540.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
21,0.0,1.0,567.0,567.0,27.0,567.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0018468230653412427,0.0008072660317239403,0.0035367250225837006,0.0,,,,
22,0.0,1.0,594.0,594.0,27.0,594.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0009624327933142394,0.0004334041354369333,0.0027678213593991465,0.0,,,,
23,0.0,1.0,621.0,621.0,27.0,621.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0033577029297842567,0.0037964817912105133,0.011205474958543684,0.0,,,,
24,0.0,1.0,648.0,648.0,27.0,648.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0008549833268801581,0.0011445117868899425,0.003807226769436725,0.0,,,,
25,0.0,1.0,675.0,675.0,27.0,675.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0009851633529070472,0.0011071498981398617,0.0037717231259748454,0.0,,,,
26,0.0,1.0,702.0,702.0,27.0,702.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0050695042337652405,0.002056511668534076,0.009728519047356951,0.0,,,,
27,0.0,1.0,729.0,729.0,27.0,729.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.002071600739826856,0.0017140415062976914,0.00392089501,0.0,,,,
28,0.0,1.0,756.0,756.0,27.0,756.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
29,0.0,1.0,783.0,783.0,27.0,783.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.002475155451876034,0.0013941277152879085,0.0038738162474836408,0.0,,,,
30,0.0,1.0,810.0,810.0,27.0,810.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.002265377077381619,0.002655325243833237,0.007614506651152855,0.0,,,,
31,0.0,1.0,837.0,837.0,27.0,837.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0016229907440016627,0.0027017196478376737,0.008648275251635909,0.0,,,,
32,0.0,1.0,864.0,864.0,27.0,864.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0038335545249549774,0.0020376159646118843,0.006147528007616369,0.0,,,,
33,0.0,1.0,891.0,891.0,27.0,891.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
34,0.0,1.0,918.0,918.0,27.0,918.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.006164843293800306,0.0026821088412972856,0.012460093243104963,0.001,,,,
35,0.0,1.0,945.0,945.0,27.0,945.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0004701651933074444,0.0008532047100961936,0.0029020761594009993,0.0,,,,
36,0.0,1.0,972.0,972.0,27.0,972.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.00018151833370370367,0.00038080326436721126,0.001,0.0,,,,
37,0.0,1.0,999.0,999.0,27.0,999.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.004024180215015588,0.002928441571413253,0.010013607416106858,0.0,,,,
38,0.0,1.0,1026.0,1026.0,27.0,1026.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
39,7.0,0.0,1053.0,1053.0,27.0,1053.0,0.22809824347496035,10.0,10.0,0.0,,,,0.006496034961725985,0.0016892469378542686,0.009041490964591505,0.004284316673874855,0.00025,0.0,0.00025,0.00025,0.028394957999999998,0.006390091,0.038087953,0.02004255,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.9003685000000001,0.54365903,2.558337,0.6577644
40,14.0,0.0,1080.0,1080.0,27.0,1080.0,0.2168462872505188,10.0,10.0,0.0,,,,0.015598507265427284,0.01365339219380658,0.04186773672699928,0.004083407111465931,0.00025,0.0,0.00025,0.00025,0.03454513,0.014810638999999999,0.06305074,0.020628674,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.8200778000000002,0.5359228,2.518021,0.62207735
41,20.0,0.0,1107.0,1107.0,27.0,1107.0,0.20719344913959506,10.0,10.0,0.0,,,,0.0074608761351555595,0.007078333844036037,0.02322770468890667,0.003608687315136194,0.00025,0.0,0.00025,0.00025,0.023892507,0.007153389499999999,0.03939329,0.018700408,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.7509298,0.5389548000000001,2.5037737,0.5802092
42,27.0,0.0,1134.0,1134.0,27.0,1134.0,0.1966776251792908,10.0,10.0,0.0,,,,0.02260781095052759,0.010604848182750823,0.03623535856604576,0.004486019723117352,0.00025,0.0,0.00025,0.00025,0.038423207,0.012377441000000001,0.05368622,0.018403085,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.6842164000000002,0.5457526,2.481119,0.5411511999999999
43,34.0,0.0,1161.0,1161.0,27.0,1161.0,0.18688635528087616,10.0,10.0,0.0,,,,0.01303355352553938,0.006269933100148316,0.01809392310678959,0.003130245953798294,0.00025,0.0,0.00025,0.00025,0.02126335,0.004438776,0.026225176,0.014619196000000001,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.6283997,0.5515663000000001,2.4679992000000004,0.51562506
44,41.0,0.0,1188.0,1188.0,27.0,1188.0,0.17870908975601196,10.0,10.0,0.0,,,,0.023202882115063918,0.011156167881093741,0.04025200754404068,0.0029054477345198393,0.00025,0.0,0.00025,0.00025,0.03399664,0.013805029,0.05762505,0.014454759,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.5818583000000002,0.5615897,2.4585452,0.4937942
45,47.0,0.0,1215.0,1215.0,27.0,1215.0,0.1723405122756958,10.0,10.0,0.0,,,,0.02535462526914974,0.020701823983600674,0.06431452184915543,0.004907590802758932,0.00025,0.0,0.00025,0.00025,0.044430297,0.036284246,0.12086831,0.021428637,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.5546746,0.58878195,2.4983792,0.47836322
46,54.0,0.0,1242.0,1242.0,27.0,1242.0,0.16931065917015076,10.0,10.0,0.0,,,,0.02438251751785477,0.008896879450599415,0.03687345609068871,0.01389578264206648,0.00025,0.0,0.00025,0.00025,0.03779569,0.01619969,0.06132553,0.022019586,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.5509886,0.6214456,2.5591567000000004,0.47586179999999995
47,61.0,0.0,1269.0,1269.0,27.0,1269.0,0.17165446281433105,10.0,10.0,0.0,,,,0.022595786090408045,0.004481468749490346,0.032081108540296555,0.01717744022607803,0.00025,0.0,0.00025,0.00025,0.028735997000000003,0.0124364225,0.056867693,0.017802836000000002,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.5909516000000001,0.66766286,2.683812,0.4879193
48,68.0,0.0,1296.0,1296.0,27.0,1296.0,0.1749805510044098,10.0,10.0,0.0,,,,0.01720979018136859,0.009789272760728406,0.03722231835126877,0.006448684725910425,0.00025,0.0,0.00025,0.00025,0.03162076,0.011736545,0.053502854,0.020360755,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.6359758,0.69102645,2.768507,0.51392627
49,74.0,0.0,1323.0,1323.0,27.0,1323.0,0.1790957748889923,10.0,10.0,0.0,,,,0.020724028969804447,0.00898685652705227,0.040413733571767814,0.014536435715854168,0.00025,0.0,0.00025,0.00025,0.04535694,0.025490057000000003,0.08953789,0.016883368,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.6820694,0.69329697,2.8257822999999997,0.55092114
50,81.0,0.0,1350.0,1350.0,27.0,1350.0,0.18439702689647675,10.0,10.0,0.0,,,,0.01757909559334318,0.0039720004468229,0.020596949383616447,0.009020815603435041,0.00025,0.0,0.00025,0.00025,0.028059946000000002,0.00851243,0.04286604,0.017119218000000002,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.7239702000000001,0.7028331999999999,2.9001722,0.5804235
51,88.0,0.0,1377.0,1377.0,27.0,1377.0,0.19046518206596372,10.0,10.0,0.0,,,,0.015106141035045897,0.005622644852203572,0.02709604799747467,0.008354686200618744,0.00025,0.0,0.00025,0.00025,0.030449007,0.01566919,0.06328913,0.014070495,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.7678816000000002,0.72668946,2.9977705,0.59663326
52,95.0,0.0,1404.0,1404.0,27.0,1404.0,0.19417986273765564,10.0,10.0,0.0,,,,0.018360990631793226,0.008070589658107263,0.031944870948791504,0.00730563048273325,0.00025,0.0,0.00025,0.00025,0.038346075,0.016715514,0.06635976,0.013938086,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.8016051,0.7454012,3.0673535,0.61023575
53,101.0,0.0,1431.0,1431.0,27.0,1431.0,0.19595922529697415,10.0,10.0,0.0,,,,0.015098783808449904,0.00730825387430157,0.02512626349925995,0.005675347987562418,0.00025,0.0,0.00025,0.00025,0.031478304,0.017836917,0.06312443,0.010528055,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.8180144,0.75571746,3.1059947,0.6116376
54,108.0,0.0,1458.0,1458.0,27.0,1458.0,0.19723132252693176,10.0,10.0,0.0,,,,0.016989770034948986,0.004974166216921158,0.027478728443384167,0.0126437870785594,0.00025,0.0,0.00025,0.00025,0.030347957999999998,0.014686497,0.06129913,0.01644478,7.483528056868553,2.3641141205507714,9.561792499119552,1.0,1.8323060000000002,0.7692026,3.157136,0.60676944
