Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
1,0.0,1.0,14.0,1.0,14.0,14.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2456291198296514,0.1485720227336834,0.4942178178295216,0.02284679373615421,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,20.0,1.0,20.0,34.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.17600218405849968,0.17409081435461718,0.5197994032058006,-0.0013057342519407404,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,18.0,1.0,18.0,52.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3306560805889505,0.20727530047762036,0.6690173118678339,0.02046607885612641,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,24.0,1.0,24.0,76.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2794267527892386,0.17314713201760915,0.6310889301816526,0.01839389127480678,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,18.0,1.0,18.0,94.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4371489414088806,0.2272134430182501,0.8046543104848425,0.04258113345091402,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,33.0,1.0,33.0,127.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.08744374926442819,0.13314589536990595,0.4585844317993215,-0.006954643330674745,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,16.0,1.0,16.0,143.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3330372995131608,0.1870320161273056,0.6424935755666001,0.036330000012605015,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,20.0,1.0,20.0,163.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3071536592977029,0.18702153048619066,0.6524772333501697,0.03093463527634384,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,11.0,1.0,11.0,174.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.15209532704229353,0.11694816375916894,0.3588654157463031,0.006899891867214185,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,20.0,1.0,20.0,194.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3544414856105883,0.2445730419413569,0.7745051170907518,0.0119993835683613,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,18.0,1.0,18.0,212.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1951491448835768,0.1807795122921884,0.5335388921474492,-0.0034241770032252352,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,13.0,1.0,13.0,225.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2599258970553296,0.1467084225016422,0.5102047319372071,0.03738723434414621,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,27.0,1.0,27.0,252.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4181475784047955,0.2205051580815296,0.8377334597798765,0.03571197292551182,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,21.0,1.0,21.0,273.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4265401073220592,0.2230316053113296,0.798616690336875,0.03986461826018843,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,22.0,1.0,22.0,295.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6380484364272989,0.31252936457819985,1.1106840871886152,0.060169344651217586,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,18.0,1.0,18.0,313.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.46050961595351003,0.24924018305579315,0.8464593174120876,0.04240144220638645,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,10.0,1.0,10.0,323.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.21181613228030827,0.10750303068486068,0.3864853029845265,0.044371263706323986,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,15.0,1.0,15.0,338.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.1819469923800748,0.13299845008736072,0.43207177335632097,0.01171213223468804,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,21.0,1.0,21.0,359.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.11972402306853948,0.1535317951048719,0.4430585229663941,-0.02995856962102635,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,40.0,1.0,40.0,399.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.8665050461585512,0.4694254131283197,1.6191182536260142,0.047608549442357186,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,26.0,1.0,26.0,425.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.35484352657594503,0.24695659556159366,0.8077850637054096,0.010591432351947056,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,25.0,1.0,25.0,450.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.5717334883365771,0.3247695659945097,1.0871034403198,0.0305737487997779,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,17.0,1.0,17.0,467.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.16024670915543993,0.13873232725261425,0.4303334053963367,0.00034311260725337385,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,36.0,1.0,36.0,503.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6678228922349178,0.3879524702479107,1.2718829921062391,0.018898239487454116,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,22.0,1.0,22.0,525.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.22470012144620166,0.1937801611685395,0.6060880243168881,0.008739569473694756,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,18.0,1.0,18.0,543.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.11305762902493913,0.14319467785221435,0.4129293428013665,-0.01386056460605452,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,23.0,1.0,23.0,566.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4527480390220098,0.2575068683678474,0.875136217908634,0.03148685914013958,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,25.0,1.0,25.0,591.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.5179090245393764,0.2874082287613444,0.9980968162728866,0.031054081282801512,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,23.0,1.0,23.0,614.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,-0.03496185623301666,0.12305802451532034,0.2588347923297942,-0.16144407277041084,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,16.0,1.0,16.0,630.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4380726094228039,0.20862058518781698,0.7674469713682945,0.06752246401151173,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,27.0,1.0,27.0,657.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.08358617733709058,0.16217994994885002,0.4485251911269297,-0.058729089774254124,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,29.0,1.0,29.0,686.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.8351887539597613,0.4193669008819579,1.4506380993129928,0.06861275049796038,,,,,,,,,,,,,,,,,,,,
33,0.0,1.0,16.0,1.0,16.0,702.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.31482703991677524,0.18316606488765827,0.6285685183941564,0.03270970777908668,,,,,,,,,,,,,,,,,,,,
34,0.0,1.0,11.0,1.0,11.0,713.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.20451650680378408,0.11600832066982365,0.4033505515750176,0.034077123345230914,,,,,,,,,,,,,,,,,,,,
35,0.0,1.0,19.0,1.0,19.0,732.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.19313964886904134,0.17463934860123645,0.5227471408274542,-0.0021392910148284967,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,18.0,1.0,18.0,750.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3530218584036669,0.2080396964420637,0.6968781847577575,0.0322860881138015,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,14.0,1.0,14.0,764.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2806813314927357,0.1659455394260049,0.5579692267789135,0.02725255353221336,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,24.0,1.0,24.0,788.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6897026769697802,0.32500845451025606,1.1538858810174606,0.06809769361191231,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,13.0,1.0,13.0,801.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2438685663492328,0.15122413321965367,0.4957489747906946,0.021155161998548208,,,,,,,,,,,,,,,,,,,,
