Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
1,0.0,1.0,21.0,1.0,21.0,21.0,0.0,,,0.0,,,,,,,,,,,,,,,,12.187400219010689,6.02351826655486,21.100796003969286,1.1868537456907968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,37.0,2.0,16.0,37.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.003888307749301,2.849757035873516,8.391397533459859,-0.2587612435243969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,55.0,3.0,18.0,55.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.6786651393191905,2.709529829273535,8.321805201307981,-0.07569710079796449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,74.0,4.0,19.0,74.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.090034225181489,3.206023887752558,10.509288520018028,0.2839392848619814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,88.0,5.0,14.0,88.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.165552231645576,3.66404512761854,13.023131858630245,1.0091819839290892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,112.0,6.0,24.0,112.0,0.0,,,0.0,,,,,,,,,,,,,,,,10.731327473573936,6.126399979113884,20.66145903199017,0.6910095956009107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,145.0,7.0,33.0,145.0,0.0,,,0.0,,,,,,,,,,,,,,,,10.670220549370404,6.992963119278488,22.791842039974323,0.6562351823457857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,167.0,8.0,22.0,167.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.034768970898434,4.2612714860199965,14.403915706302536,0.43413773599091454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,178.0,9.0,11.0,178.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.2858887156780807,2.149648869827323,7.094473602960945,0.4210087564578482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,200.0,10.0,22.0,200.0,0.0,,,0.0,,,,,,,,,,,,,,,,9.183232104480675,4.539275364816548,16.905503769460527,0.990589379968938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,238.0,11.0,38.0,238.0,0.0,,,0.0,,,,,,,,,,,,,,,,-0.728296248357497,2.843503406090138,7.278563679956515,-3.084433898102376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,253.0,12.0,15.0,253.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.281899590152262,3.4292806305171983,10.980604851900196,0.3588793322181785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,273.0,13.0,20.0,273.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.265360232072668,4.473821209647469,15.469151456358226,0.8284490732033831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,315.0,14.0,42.0,315.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.7169679168738905,4.6969997996313895,13.794534422051694,-2.4982641667979366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,331.0,15.0,16.0,331.0,0.0,,,0.0,,,,,,,,,,,,,,,,3.0898727857551376,2.9049257439094567,8.565105518472505,-0.05003811602960236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,351.0,16.0,20.0,351.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.36378646563099,4.1843651416896765,13.056558519040433,0.2238201527097113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,385.0,17.0,34.0,385.0,0.0,,,0.0,,,,,,,,,,,,,,,,20.957413390494548,10.410960745680466,35.285247617948336,1.3324838701860773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,410.0,18.0,25.0,410.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.768713496015011,4.2546875470428835,13.23091237762408,-0.03728525471663438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,430.0,19.0,20.0,430.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.243544948189639,3.1829084340750224,10.463008170708637,0.2560064309751019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,453.0,20.0,23.0,453.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.39578702105708,4.9304280066001365,16.88033162644948,0.6902976401978613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,504.0,21.0,51.0,504.0,0.0,,,0.0,,,,,,,,,,,,,,,,34.67041186134166,15.79179653210366,55.278843848029176,1.8660872018853305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,513.0,22.0,9.0,513.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.765737819851736,1.6157452380121706,5.600887976291928,0.4710101671689164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,530.0,23.0,17.0,530.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.342586169660524,3.5972282755401066,11.655314464587386,0.3127874388970675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,549.0,24.0,19.0,549.0,0.0,,,0.0,,,,,,,,,,,,,,,,8.616573504545824,4.940194508984817,16.604117887860678,0.6366099352544409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,574.0,25.0,25.0,574.0,0.0,,,0.0,,,,,,,,,,,,,,,,15.911067682362681,7.353253353556702,26.56173048168582,1.522081240153912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,587.0,26.0,13.0,587.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.643661203836143,3.698659979875989,13.253609904359903,1.3116155132895202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,608.0,27.0,21.0,608.0,0.0,,,0.0,,,,,,,,,,,,,,,,7.214598708769635,4.232832552578322,14.808911142359483,0.6724089199426311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
